purchase_order_item_id,purchase_order_id,line_number,product_id,purchase_uom_id,ordered_pac_quantity,ordered_base_quantity,unit_cost,notes,created_date,created_by,updated_date,updated_by
41,8,5,188,6,2.0,420.0,47372.68,,2026-05-13 08:00:00,system,2026-05-13 08:00:00,system
42,8,6,1286,6,24.0,120.0,1663.88,,2026-05-13 08:00:00,system,2026-05-13 08:00:00,system
43,8,7,183,6,30.0,750.0,5992.52,,2026-05-13 08:00:00,system,2026-05-13 08:00:00,system
44,8,8,1488,1,1.0,1000.0,180.02,,2026-05-13 08:00:00,system,2026-05-13 08:00:00,system
45,8,9,102,6,15.0,150.0,2352.76,,2026-05-13 08:00:00,system,2026-05-13 08:00:00,system
46,9,1,1475,6,2.0,110.0,12473.29,,2026-05-15 08:00:00,system,2026-05-15 08:00:00,system
47,9,2,463,6,40.0,400.0,2577.79,,2026-05-15 08:00:00,system,2026-05-15 08:00:00,system
48,9,3,1232,6,8.0,160.0,3044.14,,2026-05-15 08:00:00,system,2026-05-15 08:00:00,system
49,9,4,20,6,18.0,270.0,3817.14,,2026-05-15 08:00:00,system,2026-05-15 08:00:00,system
50,9,5,350,6,30.0,30.0,241.05,,2026-05-15 08:00:00,system,2026-05-15 08:00:00,system
51,9,6,1266,1,2.0,2000.0,134.61,,2026-05-15 08:00:00,system,2026-05-15 08:00:00,system
52,9,7,218,6,45.0,36.0,224.62,,2026-05-15 08:00:00,system,2026-05-15 08:00:00,system
53,9,8,371,6,32.0,160.0,1393.53,,2026-05-15 08:00:00,system,2026-05-15 08:00:00,system
54,10,1,86,6,12.0,60.0,1136.98,,2026-01-19 08:00:00,system,2026-01-19 08:00:00,system
55,10,2,200,6,6.0,1080.0,40600.92,,2026-01-19 08:00:00,system,2026-01-19 08:00:00,system
56,10,3,1316,1,2.0,2000.0,295.55,,2026-01-19 08:00:00,system,2026-01-19 08:00:00,system
57,10,4,1155,6,4.0,840.0,26429.67,,2026-01-19 08:00:00,system,2026-01-19 08:00:00,system
58,10,5,1481,6,21.0,525.0,5206.09,,2026-01-19 08:00:00,system,2026-01-19 08:00:00,system
59,10,6,743,6,4.0,220.0,10879.65,,2026-01-19 08:00:00,system,2026-01-19 08:00:00,system
60,10,7,730,6,10.0,1800.0,30933.17,,2026-01-19 08:00:00,system,2026-01-19 08:00:00,system
61,11,1,1268,6,13.0,39.0,412.83,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
62,11,2,954,6,6.0,1080.0,36620.81,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
63,11,3,1033,6,16.0,160.0,3525.24,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
64,11,4,1010,6,22.0,11.0,178.07,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
65,11,5,929,6,8.0,440.0,11315.9,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
66,11,6,912,6,28.0,700.0,5172.36,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
67,11,7,371,6,24.0,120.0,1182.94,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
68,11,8,1062,6,16.0,288.0,6583.55,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
69,11,9,7,6,25.0,625.0,6070.47,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
70,11,10,1279,6,20.0,400.0,6698.46,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
71,12,1,351,1,4.0,4000.0,226.35,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
72,12,2,1258,1,1.0,1000.0,146.31,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
73,12,3,1175,6,1.0,210.0,33096.02,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
74,12,4,397,6,5.0,100.0,4949.56,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
75,12,5,1178,6,12.0,36.0,494.41,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
76,12,6,349,6,10.0,8.0,214.0,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
77,13,1,643,1,4.0,4000.0,168.87,,2026-01-27 08:00:00,system,2026-01-27 08:00:00,system
78,13,2,639,6,4.0,220.0,10280.5,,2026-01-27 08:00:00,system,2026-01-27 08:00:00,system
79,13,3,289,6,65.0,195.0,752.25,,2026-01-27 08:00:00,system,2026-01-27 08:00:00,system
80,13,4,150,6,25.0,250.0,2264.92,,2026-01-27 08:00:00,system,2026-01-27 08:00:00,system
81,13,5,495,6,7.0,35.0,1060.05,,2026-01-27 08:00:00,system,2026-01-27 08:00:00,system
82,13,6,859,6,10.0,1800.0,34047.86,,2026-01-27 08:00:00,system,2026-01-27 08:00:00,system
83,14,1,348,1,8.0,8000.0,209.84,,2026-06-15 08:00:00,system,2026-06-15 08:00:00,system
84,15,1,929,6,8.0,440.0,11315.9,,2026-06-24 08:00:00,system,2026-06-24 08:00:00,system
85,16,1,1317,1,4.0,8000.0,293.34,,2026-06-15 08:00:00,system,2026-06-15 08:00:00,system
86,16,2,617,6,4.0,840.0,37677.9,,2026-06-15 08:00:00,system,2026-06-15 08:00:00,system
87,16,3,753,6,8.0,440.0,10966.77,,2026-06-15 08:00:00,system,2026-06-15 08:00:00,system
88,16,4,1083,6,21.0,8.4,138.42,,2026-06-15 08:00:00,system,2026-06-15 08:00:00,system
89,16,5,232,1,4.0,4000.0,209.91,,2026-06-15 08:00:00,system,2026-06-15 08:00:00,system
90,16,6,1484,6,4.0,220.0,11126.28,,2026-06-15 08:00:00,system,2026-06-15 08:00:00,system
91,16,7,1304,6,6.0,1080.0,52688.63,,2026-06-15 08:00:00,system,2026-06-15 08:00:00,system
92,17,1,857,6,10.0,500.0,11225.9,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
93,17,2,193,6,15.0,45.0,746.67,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
94,17,3,845,6,5.0,1050.0,44768.92,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
95,17,4,389,6,35.0,700.0,4525.9,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
96,17,5,1127,6,32.0,32.0,391.74,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
97,17,6,450,6,14.0,280.0,4821.24,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
98,17,7,1398,6,35.0,875.0,5707.04,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
99,18,1,1354,6,10.0,200.0,6306.36,,2026-06-10 08:00:00,system,2026-06-10 08:00:00,system
100,18,2,728,6,4.0,200.0,9021.19,,2026-06-10 08:00:00,system,2026-06-10 08:00:00,system
101,18,3,1365,6,10.0,550.0,17670.8,,2026-06-10 08:00:00,system,2026-06-10 08:00:00,system
102,18,4,1229,6,50.0,150.0,405.22,,2026-06-10 08:00:00,system,2026-06-10 08:00:00,system
103,18,5,502,6,2.0,360.0,30658.46,,2026-06-10 08:00:00,system,2026-06-10 08:00:00,system
104,18,6,694,1,1.0,500.0,159.8,,2026-06-10 08:00:00,system,2026-06-10 08:00:00,system
105,19,1,34,6,28.0,280.0,2503.96,,2026-02-11 08:00:00,system,2026-02-11 08:00:00,system
106,19,2,414,6,35.0,1050.0,6271.93,,2026-02-11 08:00:00,system,2026-02-11 08:00:00,system
107,20,1,108,6,6.0,330.0,14584.27,,2026-06-18 08:00:00,system,2026-06-18 08:00:00,system
108,20,2,213,6,6.0,300.0,12874.99,,2026-06-18 08:00:00,system,2026-06-18 08:00:00,system
109,20,3,375,6,6.0,150.0,5996.57,,2026-06-18 08:00:00,system,2026-06-18 08:00:00,system
110,20,4,401,6,2.0,110.0,12781.31,,2026-06-18 08:00:00,system,2026-06-18 08:00:00,system
111,20,5,116,6,21.0,105.0,1354.05,,2026-06-18 08:00:00,system,2026-06-18 08:00:00,system
112,20,6,284,6,4.0,840.0,49607.16,,2026-06-18 08:00:00,system,2026-06-18 08:00:00,system
113,20,7,1212,1,2.0,2000.0,143.79,,2026-06-18 08:00:00,system,2026-06-18 08:00:00,system
114,20,8,152,6,8.0,160.0,5012.14,,2026-06-18 08:00:00,system,2026-06-18 08:00:00,system
115,21,1,1015,6,9.0,162.0,6704.45,,2026-01-21 08:00:00,system,2026-01-21 08:00:00,system
116,21,2,1410,6,18.0,270.0,3213.01,,2026-01-21 08:00:00,system,2026-01-21 08:00:00,system
117,22,1,697,6,39.0,117.0,562.8,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
118,22,2,521,6,55.0,165.0,615.21,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
119,22,3,597,6,21.0,420.0,3754.1,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
120,22,4,1377,1,4.0,4000.0,197.89,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
121,23,1,830,6,8.0,1440.0,36783.43,,2026-06-22 08:00:00,system,2026-06-22 08:00:00,system
122,23,2,755,6,5.0,1050.0,43301.75,,2026-06-22 08:00:00,system,2026-06-22 08:00:00,system
123,23,3,679,6,5.0,1050.0,39584.93,,2026-06-22 08:00:00,system,2026-06-22 08:00:00,system
124,23,4,531,6,5.0,1050.0,37267.91,,2026-06-22 08:00:00,system,2026-06-22 08:00:00,system
125,23,5,331,6,4.0,720.0,37962.28,,2026-06-22 08:00:00,system,2026-06-22 08:00:00,system
126,23,6,1444,6,48.0,144.0,605.05,,2026-06-22 08:00:00,system,2026-06-22 08:00:00,system
127,23,7,593,6,33.0,99.0,559.63,,2026-06-22 08:00:00,system,2026-06-22 08:00:00,system
128,23,8,881,6,30.0,450.0,3175.83,,2026-06-22 08:00:00,system,2026-06-22 08:00:00,system
129,24,1,95,6,1.0,210.0,46236.31,,2026-03-13 08:00:00,system,2026-03-13 08:00:00,system
130,24,2,1390,1,6.0,3000.0,189.76,,2026-03-13 08:00:00,system,2026-03-13 08:00:00,system
131,24,3,190,6,52.0,41.6,196.18,,2026-03-13 08:00:00,system,2026-03-13 08:00:00,system
132,24,4,1159,6,55.0,275.0,661.61,,2026-03-13 08:00:00,system,2026-03-13 08:00:00,system
133,25,1,1169,6,40.0,800.0,2859.97,,2026-03-04 08:00:00,system,2026-03-04 08:00:00,system
134,26,1,902,6,2.0,360.0,33878.47,,2026-02-11 08:00:00,system,2026-02-11 08:00:00,system
135,27,1,558,6,6.0,330.0,9832.3,,2026-03-03 08:00:00,system,2026-03-03 08:00:00,system
136,27,2,366,1,4.0,4000.0,202.55,,2026-03-03 08:00:00,system,2026-03-03 08:00:00,system
137,27,3,877,1,4.0,8000.0,187.11,,2026-03-03 08:00:00,system,2026-03-03 08:00:00,system
138,27,4,959,6,28.0,84.0,601.97,,2026-03-03 08:00:00,system,2026-03-03 08:00:00,system
139,27,5,548,1,2.0,2000.0,163.37,,2026-03-03 08:00:00,system,2026-03-03 08:00:00,system
140,27,6,269,6,4.0,840.0,45618.96,,2026-03-03 08:00:00,system,2026-03-03 08:00:00,system
141,28,1,704,6,6.0,300.0,9046.77,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
142,28,2,149,6,12.0,60.0,1248.91,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
143,28,3,168,6,25.0,625.0,5765.5,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
144,28,4,916,6,8.0,1440.0,35998.88,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
145,28,5,1367,6,1.0,210.0,60598.84,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
146,28,6,820,1,4.0,8000.0,197.17,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
147,28,7,414,6,7.0,210.0,6271.93,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
148,28,8,924,6,6.0,90.0,3257.08,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
149,28,9,360,6,21.0,525.0,5777.33,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
150,28,10,317,6,1.0,210.0,43178.31,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
151,28,11,1274,6,2.0,420.0,61368.06,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
152,28,12,403,6,1.0,210.0,41785.62,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
153,29,1,360,6,14.0,350.0,5777.33,,2026-05-12 08:00:00,system,2026-05-12 08:00:00,system
154,29,2,1256,6,6.0,330.0,7964.78,,2026-05-12 08:00:00,system,2026-05-12 08:00:00,system
155,29,3,303,1,1.0,1000.0,199.38,,2026-05-12 08:00:00,system,2026-05-12 08:00:00,system
156,29,4,1450,6,18.0,540.0,6487.43,,2026-05-12 08:00:00,system,2026-05-12 08:00:00,system
157,29,5,500,6,14.0,420.0,6500.15,,2026-05-12 08:00:00,system,2026-05-12 08:00:00,system
158,30,1,50,6,7.0,105.0,3884.09,,2026-06-17 08:00:00,system,2026-06-17 08:00:00,system
159,30,2,1257,6,2.0,420.0,30980.21,,2026-06-17 08:00:00,system,2026-06-17 08:00:00,system
160,30,3,285,1,6.0,6000.0,223.1,,2026-06-17 08:00:00,system,2026-06-17 08:00:00,system
161,30,4,352,6,80.0,64.0,183.16,,2026-06-17 08:00:00,system,2026-06-17 08:00:00,system
162,30,5,21,6,21.0,420.0,5059.75,,2026-06-17 08:00:00,system,2026-06-17 08:00:00,system
163,30,6,619,1,6.0,6000.0,194.06,,2026-06-17 08:00:00,system,2026-06-17 08:00:00,system
164,30,7,1398,6,7.0,175.0,5707.04,,2026-06-17 08:00:00,system,2026-06-17 08:00:00,system
165,30,8,888,6,2.0,420.0,43571.45,,2026-06-17 08:00:00,system,2026-06-17 08:00:00,system
166,31,1,1469,6,45.0,450.0,2470.85,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
167,31,2,1037,6,87.0,34.8,165.06,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
168,31,3,371,6,16.0,80.0,1393.53,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
169,31,4,1042,6,20.0,200.0,4191.77,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
170,31,5,1002,6,60.0,60.0,415.64,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
171,32,1,860,6,2.0,420.0,46363.0,,2026-04-05 08:00:00,system,2026-04-05 08:00:00,system
172,32,2,908,6,32.0,160.0,1086.97,,2026-04-05 08:00:00,system,2026-04-05 08:00:00,system
173,32,3,1023,6,10.0,100.0,3858.78,,2026-04-05 08:00:00,system,2026-04-05 08:00:00,system
174,32,4,1148,1,6.0,6000.0,141.24,,2026-04-05 08:00:00,system,2026-04-05 08:00:00,system
175,32,5,1118,6,60.0,60.0,396.52,,2026-04-05 08:00:00,system,2026-04-05 08:00:00,system
176,32,6,428,6,12.0,300.0,6124.5,,2026-04-05 08:00:00,system,2026-04-05 08:00:00,system
177,32,7,640,6,6.0,1080.0,33194.41,,2026-04-05 08:00:00,system,2026-04-05 08:00:00,system
178,32,8,1139,6,5.0,50.0,3726.07,,2026-04-05 08:00:00,system,2026-04-05 08:00:00,system
179,33,1,599,6,35.0,1050.0,6372.59,,2026-05-27 08:00:00,system,2026-05-27 08:00:00,system
180,33,2,1082,6,15.0,2700.0,69026.62,,2026-05-27 08:00:00,system,2026-05-27 08:00:00,system
181,33,3,448,6,8.0,80.0,2372.26,,2026-05-27 08:00:00,system,2026-05-27 08:00:00,system
182,33,4,735,6,15.0,45.0,627.78,,2026-05-27 08:00:00,system,2026-05-27 08:00:00,system
183,34,1,1476,6,70.0,210.0,649.4,,2026-04-28 08:00:00,system,2026-04-28 08:00:00,system
184,34,2,95,6,2.0,420.0,48295.13,,2026-04-28 08:00:00,system,2026-04-28 08:00:00,system
185,34,3,534,1,3.0,6000.0,191.48,,2026-04-28 08:00:00,system,2026-04-28 08:00:00,system
186,34,4,707,6,3.0,630.0,39729.49,,2026-04-28 08:00:00,system,2026-04-28 08:00:00,system
187,34,5,1420,1,3.0,6000.0,190.41,,2026-04-28 08:00:00,system,2026-04-28 08:00:00,system
188,34,6,1002,6,70.0,70.0,361.29,,2026-04-28 08:00:00,system,2026-04-28 08:00:00,system
189,34,7,232,1,4.0,4000.0,209.91,,2026-04-28 08:00:00,system,2026-04-28 08:00:00,system
190,35,1,56,6,6.0,1080.0,42941.18,,2026-06-24 08:00:00,system,2026-06-24 08:00:00,system
191,35,2,1064,6,6.0,1080.0,64764.66,,2026-06-24 08:00:00,system,2026-06-24 08:00:00,system
192,35,3,1169,6,14.0,280.0,3005.13,,2026-06-24 08:00:00,system,2026-06-24 08:00:00,system
193,35,4,1426,6,1.0,210.0,43978.97,,2026-06-24 08:00:00,system,2026-06-24 08:00:00,system
194,35,5,608,6,32.0,160.0,1022.88,,2026-06-24 08:00:00,system,2026-06-24 08:00:00,system
195,36,1,1111,6,96.0,38.4,149.85,,2026-01-23 08:00:00,system,2026-01-23 08:00:00,system
196,37,1,1158,6,28.0,84.0,433.65,,2026-03-18 08:00:00,system,2026-03-18 08:00:00,system
197,38,1,368,6,64.0,64.0,234.08,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
198,38,2,845,6,4.0,840.0,45128.17,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
199,38,3,333,1,4.0,4000.0,207.32,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
200,38,4,280,6,28.0,840.0,7456.4,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
201,38,5,1421,6,26.0,78.0,681.05,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
202,38,6,466,6,21.0,210.0,2284.16,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
203,38,7,423,6,42.0,126.0,729.02,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
204,38,8,1049,6,52.0,104.0,764.72,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
205,38,9,667,6,3.0,165.0,10865.27,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
206,39,1,761,6,32.0,320.0,2190.15,,2026-01-02 08:00:00,system,2026-01-02 08:00:00,system
207,39,2,819,1,3.0,3000.0,202.69,,2026-01-02 08:00:00,system,2026-01-02 08:00:00,system
208,40,1,434,6,16.0,240.0,3625.35,,2026-02-05 08:00:00,system,2026-02-05 08:00:00,system
209,40,2,168,6,35.0,875.0,6496.2,,2026-02-05 08:00:00,system,2026-02-05 08:00:00,system
210,41,1,572,6,2.0,110.0,10819.1,,2026-01-31 08:00:00,system,2026-01-31 08:00:00,system
211,42,1,1133,6,8.0,1440.0,58303.42,,2026-02-16 08:00:00,system,2026-02-16 08:00:00,system
212,42,2,1469,6,14.0,140.0,2009.59,,2026-02-16 08:00:00,system,2026-02-16 08:00:00,system
213,43,1,979,6,6.0,300.0,16952.04,,2026-03-18 08:00:00,system,2026-03-18 08:00:00,system
214,43,2,137,6,7.0,140.0,4759.29,,2026-03-18 08:00:00,system,2026-03-18 08:00:00,system
215,43,3,1183,6,2.0,420.0,29027.69,,2026-03-18 08:00:00,system,2026-03-18 08:00:00,system
216,43,4,68,6,6.0,180.0,7378.62,,2026-03-18 08:00:00,system,2026-03-18 08:00:00,system
217,43,5,1312,6,10.0,1800.0,53936.38,,2026-03-18 08:00:00,system,2026-03-18 08:00:00,system
218,44,1,277,6,14.0,210.0,3760.89,,2026-05-07 08:00:00,system,2026-05-07 08:00:00,system
219,44,2,1365,6,6.0,330.0,18449.0,,2026-05-07 08:00:00,system,2026-05-07 08:00:00,system
220,45,1,261,6,32.0,320.0,2553.42,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
221,45,2,336,6,60.0,72.0,283.53,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
222,45,3,1169,6,24.0,480.0,2859.97,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
223,45,4,37,6,21.0,525.0,6669.59,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
224,45,5,929,6,2.0,110.0,12836.83,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
225,45,6,706,6,8.0,1440.0,36699.36,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
226,45,7,701,6,28.0,560.0,4002.83,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
227,45,8,334,6,39.0,31.2,186.52,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
228,45,9,318,1,2.0,2000.0,214.66,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
229,45,10,191,6,45.0,45.0,263.19,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
230,45,11,1207,6,32.0,160.0,717.29,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
231,46,1,508,6,30.0,150.0,1020.39,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
232,46,2,506,1,6.0,12000.0,194.65,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
233,46,3,1249,6,4.0,220.0,8745.69,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
234,46,4,608,6,24.0,120.0,1032.38,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
235,46,5,1423,6,14.0,140.0,2147.84,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
236,46,6,277,6,16.0,240.0,3720.56,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
237,46,7,269,6,4.0,840.0,52473.61,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
238,46,8,230,6,8.0,1440.0,43193.6,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
239,46,9,348,1,8.0,8000.0,222.64,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
240,46,10,1438,6,8.0,440.0,13041.97,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
241,46,11,129,6,56.0,67.2,304.41,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
242,46,12,490,1,2.0,2000.0,210.66,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
243,47,1,393,6,39.0,117.0,738.96,,2026-03-28 08:00:00,system,2026-03-28 08:00:00,system
244,47,2,669,6,2.0,420.0,42810.91,,2026-03-28 08:00:00,system,2026-03-28 08:00:00,system
245,47,3,812,6,7.0,175.0,5817.8,,2026-03-28 08:00:00,system,2026-03-28 08:00:00,system
246,48,1,707,6,5.0,1050.0,39729.49,,2026-01-02 08:00:00,system,2026-01-02 08:00:00,system
247,48,2,652,6,4.0,200.0,8987.63,,2026-01-02 08:00:00,system,2026-01-02 08:00:00,system
248,49,1,1443,1,8.0,16000.0,191.73,,2026-04-22 08:00:00,system,2026-04-22 08:00:00,system
249,49,2,707,6,5.0,1050.0,38885.05,,2026-04-22 08:00:00,system,2026-04-22 08:00:00,system
250,49,3,545,6,2.0,420.0,40299.67,,2026-04-22 08:00:00,system,2026-04-22 08:00:00,system
251,49,4,769,6,4.0,840.0,42446.46,,2026-04-22 08:00:00,system,2026-04-22 08:00:00,system
252,49,5,3,6,6.0,30.0,1239.17,,2026-04-22 08:00:00,system,2026-04-22 08:00:00,system
253,49,6,1477,6,28.0,140.0,1051.42,,2026-04-22 08:00:00,system,2026-04-22 08:00:00,system
254,49,7,1037,6,72.0,28.8,136.55,,2026-04-22 08:00:00,system,2026-04-22 08:00:00,system
255,49,8,1079,6,8.0,80.0,3451.32,,2026-04-22 08:00:00,system,2026-04-22 08:00:00,system
