customer_location_id,customer_id,location_code,location_name,contact_person,phone,address_line1,address_line2,city,state,postal_code,country,is_default,location_status,created_date,created_by,updated_date,updated_by
47,27,CUST0027-SHIP-01,Greenridge Industrial Distribution Primary Ship-To,Rohan Kapoor,0253-4108027,"Plot 37, Logistics Park","Sector 4, Nashik Business District",Nashik,Maharashtra,422112,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
48,28,CUST0028-SHIP-01,Metrocrest Process Industries Primary Ship-To,Kunal Kapoor,080-4108028,"Plot 38, Commercial Zone",,Mysuru,Karnataka,570111,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
49,28,CUST0028-SHIP-02,Metrocrest Process Industries Distribution Hub 2,Kunal Kapoor,080-4108028,"Plot 26, Distribution Hub","Sector 7, Hubballi Logistics District",Hubballi,Karnataka,580242,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
50,28,CUST0028-SHIP-03,Metrocrest Process Industries Service Centre 3,Kunal Kapoor,080-4108028,"Plot 27, Service Centre","Sector 8, Mysuru Logistics District",Mysuru,Karnataka,570249,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
51,29,CUST0029-SHIP-01,Ironvale Fleet Systems Primary Ship-To,Nikhil Kapoor,020-4108029,"Plot 39, Business Park","Sector 6, Chhatrapati Sambhajinagar Business District",Chhatrapati Sambhajinagar,Maharashtra,431124,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
52,29,CUST0029-SHIP-02,Ironvale Fleet Systems Distribution Hub 2,Nikhil Kapoor,020-4108029,"Plot 29, Distribution Hub","Sector 8, Chhatrapati Sambhajinagar Logistics District",Chhatrapati Sambhajinagar,Maharashtra,431243,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
53,29,CUST0029-SHIP-03,Ironvale Fleet Systems Service Centre 3,Nikhil Kapoor,020-4108029,"Plot 30, Service Centre","Sector 9, Pune Logistics District",Pune,Maharashtra,411250,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
54,30,CUST0030-SHIP-01,Goldcrest Fleet Systems Primary Ship-To,Arjun Kapoor,022-4108030,"Plot 40, Industrial Area","Sector 7, Navi Mumbai Business District",Navi Mumbai,Maharashtra,400121,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
55,31,CUST0031-SHIP-01,Sunridge Process Industries Primary Ship-To,Vikram Kapoor,0120-4108031,"Plot 41, Industrial Estate","Sector 8, Lucknow Business District",Lucknow,Uttar Pradesh,226107,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
56,31,CUST0031-SHIP-02,Sunridge Process Industries Distribution Hub 2,Vikram Kapoor,0120-4108031,"Plot 35, Distribution Hub","Sector 10, Lucknow Logistics District",Lucknow,Uttar Pradesh,226245,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
57,32,CUST0032-SHIP-01,Brightfield Auto & Machinery Primary Ship-To,Siddharth Kapoor,0712-4108032,"Plot 42, Logistics Park",,Pune,Maharashtra,411130,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
58,32,CUST0032-SHIP-02,Brightfield Auto & Machinery Distribution Hub 2,Siddharth Kapoor,0712-4108032,"Plot 38, Distribution Hub","Sector 11, Nashik Logistics District",Nashik,Maharashtra,422246,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
59,32,CUST0032-SHIP-03,Brightfield Auto & Machinery Service Centre 3,Siddharth Kapoor,0712-4108032,"Plot 39, Service Centre","Sector 12, Nagpur Logistics District",Nagpur,Maharashtra,440253,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
60,33,CUST0033-SHIP-01,Maplebridge Auto & Machinery Primary Ship-To,Aditya Kapoor,011-4108033,"Plot 43, Commercial Zone","Sector 10, New Delhi Business District",New Delhi,Delhi,110106,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
61,33,CUST0033-SHIP-02,Maplebridge Auto & Machinery Distribution Hub 2,Aditya Kapoor,011-4108033,"Plot 41, Distribution Hub","Sector 12, New Delhi Logistics District",New Delhi,Delhi,110247,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
62,33,CUST0033-SHIP-03,Maplebridge Auto & Machinery Service Centre 3,Aditya Kapoor,011-4108033,"Plot 42, Service Centre","Sector 1, New Delhi Logistics District",New Delhi,Delhi,110254,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
63,34,CUST0034-SHIP-01,Parkstone Fleet Systems Primary Ship-To,Rahul Kapoor,0755-4108034,"Plot 44, Business Park","Sector 11, Bhopal Business District",Bhopal,Madhya Pradesh,462109,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
64,35,CUST0035-SHIP-01,Riveroak Industrial Distribution Primary Ship-To,Neeraj Kapoor,0731-4108035,"Plot 45, Industrial Area","Sector 12, Bhopal Business District",Bhopal,Madhya Pradesh,462117,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
65,35,CUST0035-SHIP-02,Riveroak Industrial Distribution Distribution Hub 2,Neeraj Kapoor,0731-4108035,"Plot 47, Distribution Hub","Sector 2, Bhopal Logistics District",Bhopal,Madhya Pradesh,462249,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
66,35,CUST0035-SHIP-03,Riveroak Industrial Distribution Service Centre 3,Neeraj Kapoor,0731-4108035,"Plot 48, Service Centre","Sector 3, Indore Logistics District",Indore,Madhya Pradesh,452256,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
67,36,CUST0036-SHIP-01,Crownfield Fleet Systems Primary Ship-To,Amit Kapoor,0712-4108036,"Plot 46, Industrial Estate",,Navi Mumbai,Maharashtra,400136,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
68,37,CUST0037-SHIP-01,Falconridge Process Industries Primary Ship-To,Aarav Patel,080-4108037,"Plot 47, Logistics Park","Sector 2, Bengaluru Business District",Bengaluru,Karnataka,560103,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
69,37,CUST0037-SHIP-02,Falconridge Process Industries Distribution Hub 2,Aarav Patel,080-4108037,"Plot 53, Distribution Hub","Sector 4, Hubballi Logistics District",Hubballi,Karnataka,580251,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
70,37,CUST0037-SHIP-03,Falconridge Process Industries Service Centre 3,Aarav Patel,080-4108037,"Plot 54, Service Centre","Sector 5, Mysuru Logistics District",Mysuru,Karnataka,570258,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
71,37,CUST0037-SHIP-04,Falconridge Process Industries Industrial Depot 4,Aarav Patel,080-4108037,"Plot 55, Industrial Depot","Sector 6, Bengaluru Logistics District",Bengaluru,Karnataka,560265,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
72,38,CUST0038-SHIP-01,Horizon Process Industries Primary Ship-To,Ishaan Patel,0265-4108038,"Plot 48, Commercial Zone","Sector 3, Rajkot Business District",Rajkot,Gujarat,360127,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
73,38,CUST0038-SHIP-02,Horizon Process Industries Distribution Hub 2,Ishaan Patel,0265-4108038,"Plot 56, Distribution Hub","Sector 5, Surat Logistics District",Surat,Gujarat,395252,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
74,38,CUST0038-SHIP-03,Horizon Process Industries Service Centre 3,Ishaan Patel,0265-4108038,"Plot 57, Service Centre","Sector 6, Rajkot Logistics District",Rajkot,Gujarat,360259,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
75,39,CUST0039-SHIP-01,Meridian Industrial Distribution Primary Ship-To,Rohan Patel,044-4108039,"Plot 49, Business Park","Sector 4, Chennai Business District",Chennai,Tamil Nadu,600102,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
76,39,CUST0039-SHIP-02,Meridian Industrial Distribution Distribution Hub 2,Rohan Patel,044-4108039,"Plot 59, Distribution Hub","Sector 6, Coimbatore Logistics District",Coimbatore,Tamil Nadu,641253,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
77,40,CUST0040-SHIP-01,Granite Auto & Machinery Primary Ship-To,Kunal Patel,0712-4108040,"Plot 50, Industrial Area",,Chhatrapati Sambhajinagar,Maharashtra,431109,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
78,41,CUST0041-SHIP-01,Oakfield Fleet Systems Primary Ship-To,Nikhil Patel,020-4108041,"Plot 51, Industrial Estate","Sector 6, Pune Business District",Pune,Maharashtra,411135,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
79,42,CUST0042-SHIP-01,Westgate Industrial Distribution Primary Ship-To,Arjun Patel,022-4108042,"Plot 52, Logistics Park","Sector 7, Pune Business District",Pune,Maharashtra,411115,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
80,43,CUST0043-SHIP-01,Blueharbor Auto & Machinery Primary Ship-To,Vikram Patel,0253-4108043,"Plot 53, Commercial Zone","Sector 8, Nashik Business District",Nashik,Maharashtra,422107,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
81,43,CUST0043-SHIP-02,Blueharbor Auto & Machinery Distribution Hub 2,Vikram Patel,0253-4108043,"Plot 71, Distribution Hub","Sector 10, Nagpur Logistics District",Nagpur,Maharashtra,440257,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
82,44,CUST0044-SHIP-01,Crestwood Process Industries Primary Ship-To,Siddharth Patel,0832-4108044,"Plot 54, Business Park",,Panaji,Goa,403104,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
83,44,CUST0044-SHIP-02,Crestwood Process Industries Distribution Hub 2,Siddharth Patel,0832-4108044,"Plot 74, Distribution Hub","Sector 11, Panaji Logistics District",Panaji,Goa,403258,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
84,44,CUST0044-SHIP-03,Crestwood Process Industries Service Centre 3,Siddharth Patel,0832-4108044,"Plot 75, Service Centre","Sector 12, Margao Logistics District",Margao,Goa,403265,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
85,45,CUST0045-SHIP-01,Northstar Industrial Distribution Primary Ship-To,Aditya Patel,044-4108045,"Plot 55, Industrial Area","Sector 10, Chennai Business District",Chennai,Tamil Nadu,600100,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
86,46,CUST0046-SHIP-01,Aspenridge Fleet Systems Primary Ship-To,Rahul Patel,0291-4108046,"Plot 56, Industrial Estate","Sector 11, Jodhpur Business District",Jodhpur,Rajasthan,342105,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
87,46,CUST0046-SHIP-02,Aspenridge Fleet Systems Distribution Hub 2,Rahul Patel,0291-4108046,"Plot 80, Distribution Hub","Sector 1, Jaipur Logistics District",Jaipur,Rajasthan,302260,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
88,47,CUST0047-SHIP-01,Silverline Industrial Distribution Primary Ship-To,Neeraj Patel,0731-4108047,"Plot 57, Logistics Park","Sector 12, Indore Business District",Indore,Madhya Pradesh,452118,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
89,47,CUST0047-SHIP-02,Silverline Industrial Distribution Distribution Hub 2,Neeraj Patel,0731-4108047,"Plot 83, Distribution Hub","Sector 2, Bhopal Logistics District",Bhopal,Madhya Pradesh,462261,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
90,48,CUST0048-SHIP-01,Summitgate Process Industries Primary Ship-To,Amit Patel,0712-4108048,"Plot 58, Commercial Zone",,Pune,Maharashtra,411120,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
91,49,CUST0049-SHIP-01,Pinecrest Industrial Distribution Primary Ship-To,Aarav Joshi,0141-4108049,"Plot 59, Business Park","Sector 2, Jaipur Business District",Jaipur,Rajasthan,302104,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
92,49,CUST0049-SHIP-02,Pinecrest Industrial Distribution Distribution Hub 2,Aarav Joshi,0141-4108049,"Plot 89, Distribution Hub","Sector 4, Jodhpur Logistics District",Jodhpur,Rajasthan,342263,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
93,50,CUST0050-SHIP-01,Clearbrook Industrial Distribution Primary Ship-To,Ishaan Joshi,0291-4108050,"Plot 60, Industrial Area","Sector 3, Jaipur Business District",Jaipur,Rajasthan,302102,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
94,50,CUST0050-SHIP-02,Clearbrook Industrial Distribution Distribution Hub 2,Ishaan Joshi,0291-4108050,"Plot 92, Distribution Hub","Sector 5, Jaipur Logistics District",Jaipur,Rajasthan,302264,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
95,51,CUST0051-SHIP-01,Evergreen Fleet Systems Primary Ship-To,Rohan Joshi,044-4108051,"Plot 61, Industrial Estate","Sector 4, Coimbatore Business District",Coimbatore,Tamil Nadu,641107,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
96,52,CUST0052-SHIP-01,Hillmark Industrial Distribution Primary Ship-To,Kunal Joshi,0712-4108052,"Plot 62, Logistics Park",,Pune,Maharashtra,411110,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
97,52,CUST0052-SHIP-02,Hillmark Industrial Distribution Distribution Hub 2,Kunal Joshi,0712-4108052,"Plot 98, Distribution Hub","Sector 7, Nashik Logistics District",Nashik,Maharashtra,422266,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
98,52,CUST0052-SHIP-03,Hillmark Industrial Distribution Service Centre 3,Kunal Joshi,0712-4108052,"Plot 99, Service Centre","Sector 8, Nagpur Logistics District",Nagpur,Maharashtra,440273,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
99,52,CUST0052-SHIP-04,Hillmark Industrial Distribution Industrial Depot 4,Kunal Joshi,0712-4108052,"Plot 20, Industrial Depot","Sector 9, Chhatrapati Sambhajinagar Logistics District",Chhatrapati Sambhajinagar,Maharashtra,431280,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
100,53,CUST0053-SHIP-01,Stonegate Fleet Systems Primary Ship-To,Nikhil Joshi,079-4108053,"Plot 63, Commercial Zone","Sector 6, Rajkot Business District",Rajkot,Gujarat,360111,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
101,54,CUST0054-SHIP-01,Ridgefield Process Industries Primary Ship-To,Arjun Joshi,0291-4108054,"Plot 64, Business Park","Sector 7, Jaipur Business District",Jaipur,Rajasthan,302112,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
102,54,CUST0054-SHIP-02,Ridgefield Process Industries Distribution Hub 2,Arjun Joshi,0291-4108054,"Plot 24, Distribution Hub","Sector 9, Jaipur Logistics District",Jaipur,Rajasthan,302268,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
