location_id,warehouse_id,location_code,location_name,zone_code,aisle_no,rack_no,bin_no,location_type,storage_mode,max_capacity_ltr,location_status,created_date,created_by,updated_date,updated_by
26,1,Z02-A01-R01-B01,Storage Z02 A01 R01 B01,Z02,A01,R01,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
27,1,Z02-A01-R02-B01,Storage Z02 A01 R02 B01,Z02,A01,R02,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
28,1,Z02-A01-R03-B01,Storage Z02 A01 R03 B01,Z02,A01,R03,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
29,1,Z02-A01-R04-B01,Storage Z02 A01 R04 B01,Z02,A01,R04,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
30,1,Z02-A01-R05-B01,Storage Z02 A01 R05 B01,Z02,A01,R05,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
31,1,Z02-A02-R01-B01,Storage Z02 A02 R01 B01,Z02,A02,R01,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
32,1,Z02-A02-R02-B01,Storage Z02 A02 R02 B01,Z02,A02,R02,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
33,1,Z02-A02-R03-B01,Storage Z02 A02 R03 B01,Z02,A02,R03,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
34,1,Z02-A02-R04-B01,Storage Z02 A02 R04 B01,Z02,A02,R04,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
35,1,Z02-A02-R05-B01,Storage Z02 A02 R05 B01,Z02,A02,R05,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
36,1,Z02-A03-R01-B01,Storage Z02 A03 R01 B01,Z02,A03,R01,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
37,1,Z02-A03-R02-B01,Storage Z02 A03 R02 B01,Z02,A03,R02,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
38,1,Z02-A03-R03-B01,Storage Z02 A03 R03 B01,Z02,A03,R03,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
39,1,Z02-A03-R04-B01,Storage Z02 A03 R04 B01,Z02,A03,R04,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
40,1,Z02-A03-R05-B01,Storage Z02 A03 R05 B01,Z02,A03,R05,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
41,1,Z02-A04-R01-B01,Storage Z02 A04 R01 B01,Z02,A04,R01,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
42,1,Z02-A04-R02-B01,Storage Z02 A04 R02 B01,Z02,A04,R02,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
43,1,Z02-A04-R03-B01,Storage Z02 A04 R03 B01,Z02,A04,R03,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
44,1,Z02-A04-R04-B01,Storage Z02 A04 R04 B01,Z02,A04,R04,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
45,1,Z02-A04-R05-B01,Storage Z02 A04 R05 B01,Z02,A04,R05,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
46,1,Z03-A01-R01-B01,Storage Z03 A01 R01 B01,Z03,A01,R01,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
47,1,Z03-A01-R02-B01,Storage Z03 A01 R02 B01,Z03,A01,R02,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
48,1,Z03-A01-R03-B01,Storage Z03 A01 R03 B01,Z03,A01,R03,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
49,1,Z03-A01-R04-B01,Storage Z03 A01 R04 B01,Z03,A01,R04,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
50,1,Z03-A01-R05-B01,Storage Z03 A01 R05 B01,Z03,A01,R05,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
51,1,Z03-A02-R01-B01,Storage Z03 A02 R01 B01,Z03,A02,R01,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
52,1,Z03-A02-R02-B01,Storage Z03 A02 R02 B01,Z03,A02,R02,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
53,1,Z03-A02-R03-B01,Storage Z03 A02 R03 B01,Z03,A02,R03,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
54,1,Z03-A02-R04-B01,Storage Z03 A02 R04 B01,Z03,A02,R04,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
55,1,Z03-A02-R05-B01,Storage Z03 A02 R05 B01,Z03,A02,R05,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
56,1,Z03-A03-R01-B01,Storage Z03 A03 R01 B01,Z03,A03,R01,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
57,1,Z03-A03-R02-B01,Storage Z03 A03 R02 B01,Z03,A03,R02,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
58,1,Z03-A03-R03-B01,Storage Z03 A03 R03 B01,Z03,A03,R03,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
59,1,Z03-A03-R04-B01,Storage Z03 A03 R04 B01,Z03,A03,R04,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
60,1,Z03-A03-R05-B01,Storage Z03 A03 R05 B01,Z03,A03,R05,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
61,1,P01-A01-R01-B01,Picking P01 A01 R01 B01,P01,A01,R01,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
62,1,P01-A01-R02-B01,Picking P01 A01 R02 B01,P01,A01,R02,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
63,1,P01-A01-R03-B01,Picking P01 A01 R03 B01,P01,A01,R03,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
64,1,P01-A01-R04-B01,Picking P01 A01 R04 B01,P01,A01,R04,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
65,1,P01-A01-R05-B01,Picking P01 A01 R05 B01,P01,A01,R05,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
66,1,P01-A02-R01-B01,Picking P01 A02 R01 B01,P01,A02,R01,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
67,1,P01-A02-R02-B01,Picking P01 A02 R02 B01,P01,A02,R02,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
68,1,P01-A02-R03-B01,Picking P01 A02 R03 B01,P01,A02,R03,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
69,1,P01-A02-R04-B01,Picking P01 A02 R04 B01,P01,A02,R04,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
70,1,P01-A02-R05-B01,Picking P01 A02 R05 B01,P01,A02,R05,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
71,1,P02-A01-R01-B01,Picking P02 A01 R01 B01,P02,A01,R01,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
72,1,P02-A01-R02-B01,Picking P02 A01 R02 B01,P02,A01,R02,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
73,1,P02-A01-R03-B01,Picking P02 A01 R03 B01,P02,A01,R03,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
74,1,P02-A01-R04-B01,Picking P02 A01 R04 B01,P02,A01,R04,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
75,1,P02-A01-R05-B01,Picking P02 A01 R05 B01,P02,A01,R05,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
76,1,P02-A02-R01-B01,Picking P02 A02 R01 B01,P02,A02,R01,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
77,1,P02-A02-R02-B01,Picking P02 A02 R02 B01,P02,A02,R02,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
78,1,P02-A02-R03-B01,Picking P02 A02 R03 B01,P02,A02,R03,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
79,1,P02-A02-R04-B01,Picking P02 A02 R04 B01,P02,A02,R04,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
80,1,P02-A02-R05-B01,Picking P02 A02 R05 B01,P02,A02,R05,B01,picking,mixed,4788.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
81,1,DSP-01,Dispatch Staging 01,DSP,,,,dispatch,covered,5320.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
82,1,DSP-02,Dispatch Staging 02,DSP,,,,dispatch,covered,5320.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
83,1,DSP-03,Dispatch Staging 03,DSP,,,,dispatch,covered,5320.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
84,1,DSP-04,Dispatch Staging 04,DSP,,,,dispatch,covered,5320.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
85,1,DSP-05,Dispatch Staging 05,DSP,,,,dispatch,covered,5320.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
86,1,QTN-01,Quarantine Area 01,QTN,,,,quarantine,covered,6650.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
87,1,QTN-02,Quarantine Area 02,QTN,,,,quarantine,covered,6650.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
88,1,QTN-03,Quarantine Area 03,QTN,,,,quarantine,covered,6650.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
89,1,QTN-04,Quarantine Area 04,QTN,,,,quarantine,covered,6650.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
90,1,RET-01,Returns Area 01,RET,,,,returns,covered,6206.67,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
91,1,RET-02,Returns Area 02,RET,,,,returns,covered,6206.67,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
92,1,RET-03,Returns Area 03,RET,,,,returns,covered,6206.67,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
93,1,DMG-01,Damage Hold Area 01,DMG,,,,damage,covered,6206.67,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
94,1,DMG-02,Damage Hold Area 02,DMG,,,,damage,covered,6206.67,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
95,1,DMG-03,Damage Hold Area 03,DMG,,,,damage,covered,6206.67,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
96,1,STG-01,Staging Area 01,STG,,,,staging,covered,7448.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
97,1,STG-02,Staging Area 02,STG,,,,staging,covered,7448.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
98,1,STG-03,Staging Area 03,STG,,,,staging,covered,7448.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
99,1,STG-04,Staging Area 04,STG,,,,staging,covered,7448.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
100,1,STG-05,Staging Area 05,STG,,,,staging,covered,7448.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
101,2,REC-01,Receiving Bay 01,REC,,,,receiving,covered,7410.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
102,2,REC-02,Receiving Bay 02,REC,,,,receiving,covered,7410.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
103,2,REC-03,Receiving Bay 03,REC,,,,receiving,covered,7410.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
104,2,REC-04,Receiving Bay 04,REC,,,,receiving,covered,7410.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
105,2,Z01-A01-R01-B01,Storage Z01 A01 R01 B01,Z01,A01,R01,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
106,2,Z01-A01-R02-B01,Storage Z01 A01 R02 B01,Z01,A01,R02,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
107,2,Z01-A01-R03-B01,Storage Z01 A01 R03 B01,Z01,A01,R03,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
108,2,Z01-A01-R04-B01,Storage Z01 A01 R04 B01,Z01,A01,R04,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
109,2,Z01-A01-R05-B01,Storage Z01 A01 R05 B01,Z01,A01,R05,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
110,2,Z01-A02-R01-B01,Storage Z01 A02 R01 B01,Z01,A02,R01,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
111,2,Z01-A02-R02-B01,Storage Z01 A02 R02 B01,Z01,A02,R02,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
112,2,Z01-A02-R03-B01,Storage Z01 A02 R03 B01,Z01,A02,R03,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
113,2,Z01-A02-R04-B01,Storage Z01 A02 R04 B01,Z01,A02,R04,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
114,2,Z01-A02-R05-B01,Storage Z01 A02 R05 B01,Z01,A02,R05,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
115,2,Z01-A03-R01-B01,Storage Z01 A03 R01 B01,Z01,A03,R01,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
116,2,Z01-A03-R02-B01,Storage Z01 A03 R02 B01,Z01,A03,R02,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
117,2,Z01-A03-R03-B01,Storage Z01 A03 R03 B01,Z01,A03,R03,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
118,2,Z01-A03-R04-B01,Storage Z01 A03 R04 B01,Z01,A03,R04,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
119,2,Z01-A03-R05-B01,Storage Z01 A03 R05 B01,Z01,A03,R05,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
120,2,Z01-A04-R01-B01,Storage Z01 A04 R01 B01,Z01,A04,R01,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
121,2,Z01-A04-R02-B01,Storage Z01 A04 R02 B01,Z01,A04,R02,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
122,2,Z01-A04-R03-B01,Storage Z01 A04 R03 B01,Z01,A04,R03,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
123,2,Z01-A04-R04-B01,Storage Z01 A04 R04 B01,Z01,A04,R04,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
124,2,Z01-A04-R05-B01,Storage Z01 A04 R05 B01,Z01,A04,R05,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
125,2,Z02-A01-R01-B01,Storage Z02 A01 R01 B01,Z02,A01,R01,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
126,2,Z02-A01-R02-B01,Storage Z02 A01 R02 B01,Z02,A01,R02,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
127,2,Z02-A01-R03-B01,Storage Z02 A01 R03 B01,Z02,A01,R03,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
128,2,Z02-A01-R04-B01,Storage Z02 A01 R04 B01,Z02,A01,R04,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
129,2,Z02-A01-R05-B01,Storage Z02 A01 R05 B01,Z02,A01,R05,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
130,2,Z02-A02-R01-B01,Storage Z02 A02 R01 B01,Z02,A02,R01,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
131,2,Z02-A02-R02-B01,Storage Z02 A02 R02 B01,Z02,A02,R02,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
132,2,Z02-A02-R03-B01,Storage Z02 A02 R03 B01,Z02,A02,R03,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
133,2,Z02-A02-R04-B01,Storage Z02 A02 R04 B01,Z02,A02,R04,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
134,2,Z02-A02-R05-B01,Storage Z02 A02 R05 B01,Z02,A02,R05,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
135,2,Z02-A03-R01-B01,Storage Z02 A03 R01 B01,Z02,A03,R01,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
136,2,Z02-A03-R02-B01,Storage Z02 A03 R02 B01,Z02,A03,R02,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
137,2,Z02-A03-R03-B01,Storage Z02 A03 R03 B01,Z02,A03,R03,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
138,2,Z02-A03-R04-B01,Storage Z02 A03 R04 B01,Z02,A03,R04,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
139,2,Z02-A03-R05-B01,Storage Z02 A03 R05 B01,Z02,A03,R05,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
140,2,Z02-A04-R01-B01,Storage Z02 A04 R01 B01,Z02,A04,R01,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
141,2,Z02-A04-R02-B01,Storage Z02 A04 R02 B01,Z02,A04,R02,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
142,2,Z02-A04-R03-B01,Storage Z02 A04 R03 B01,Z02,A04,R03,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
143,2,Z02-A04-R04-B01,Storage Z02 A04 R04 B01,Z02,A04,R04,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
144,2,Z02-A04-R05-B01,Storage Z02 A04 R05 B01,Z02,A04,R05,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
145,2,Z03-A01-R01-B01,Storage Z03 A01 R01 B01,Z03,A01,R01,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
146,2,Z03-A01-R02-B01,Storage Z03 A01 R02 B01,Z03,A01,R02,B01,storage,covered,4410.71,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
147,2,P01-A01-R01-B01,Picking P01 A01 R01 B01,P01,A01,R01,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
148,2,P01-A01-R02-B01,Picking P01 A01 R02 B01,P01,A01,R02,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
149,2,P01-A01-R03-B01,Picking P01 A01 R03 B01,P01,A01,R03,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
150,2,P01-A01-R04-B01,Picking P01 A01 R04 B01,P01,A01,R04,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
151,2,P01-A01-R05-B01,Picking P01 A01 R05 B01,P01,A01,R05,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
152,2,P01-A02-R01-B01,Picking P01 A02 R01 B01,P01,A02,R01,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
153,2,P01-A02-R02-B01,Picking P01 A02 R02 B01,P01,A02,R02,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
154,2,P01-A02-R03-B01,Picking P01 A02 R03 B01,P01,A02,R03,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
155,2,P01-A02-R04-B01,Picking P01 A02 R04 B01,P01,A02,R04,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
156,2,P01-A02-R05-B01,Picking P01 A02 R05 B01,P01,A02,R05,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
157,2,P02-A01-R01-B01,Picking P02 A01 R01 B01,P02,A01,R01,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
158,2,P02-A01-R02-B01,Picking P02 A01 R02 B01,P02,A01,R02,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
159,2,P02-A01-R03-B01,Picking P02 A01 R03 B01,P02,A01,R03,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
160,2,P02-A01-R04-B01,Picking P02 A01 R04 B01,P02,A01,R04,B01,picking,covered,4763.57,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
161,2,DSP-01,Dispatch Staging 01,DSP,,,,dispatch,covered,4631.25,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
162,2,DSP-02,Dispatch Staging 02,DSP,,,,dispatch,covered,4631.25,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
