customer_id,customer_code,customer_name,customer_type,contact_person,phone,email,gstin,state_code,billing_address_line1,billing_address_line2,billing_city,billing_state,billing_postal_code,country,payment_term_id,credit_limit,customer_status,created_date,created_by,updated_date,updated_by
11,CUST0011,Trident Industrial Distribution,Distributor,Neeraj Mehta,0836-4108011,commercial@tridentindustrialdistribution.example,SYN-29-000011,29,"Plot 21, Industrial Estate","Sector 12, Bengaluru Business District",Bengaluru,Karnataka,560121,India,4,2275000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
12,CUST0012,Everstone Industrial Distribution,Distributor,Amit Mehta,0281-4108012,orders@everstoneindustrialdistribution.example,SYN-24-000012,24,"Plot 22, Logistics Park",,Vadodara,Gujarat,390125,India,4,882000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
13,CUST0013,Harborline Auto & Machinery,Dealer,Aarav Shah,020-4108013,sales@harborlineautomachinery.example,SYN-27-000013,27,"Plot 23, Commercial Zone","Sector 2, Chhatrapati Sambhajinagar Business District",Chhatrapati Sambhajinagar,Maharashtra,431104,India,5,385000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
14,CUST0014,Primegate Fleet Systems,OEM / Institutional,Ishaan Shah,0755-4108014,commercial@primegatefleetsystems.example,SYN-23-000014,23,"Plot 24, Business Park","Sector 3, Bhopal Business District",Bhopal,Madhya Pradesh,462119,India,2,2672000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
15,CUST0015,Stonefield Auto & Machinery,Dealer,Rohan Shah,044-4108015,accounts@stonefieldautomachinery.example,SYN-33-000015,33,"Plot 25, Industrial Area","Sector 4, Coimbatore Business District",Coimbatore,Tamil Nadu,641101,India,3,1145000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
16,CUST0016,Clearpath Industrial Distribution,Distributor,Kunal Shah,080-4108016,sales@clearpathindustrialdistribution.example,SYN-29-000016,29,"Plot 26, Industrial Estate",,Bengaluru,Karnataka,560124,India,4,2766000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
17,CUST0017,Vertex Industrial Distribution,Distributor,Nikhil Shah,0141-4108017,commercial@vertexindustrialdistribution.example,SYN-08-000017,08,"Plot 27, Logistics Park","Sector 6, Jodhpur Business District",Jodhpur,Rajasthan,342107,India,5,5378000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
18,CUST0018,Oakridge Industrial Distribution,Distributor,Arjun Shah,0755-4108018,orders@oakridgeindustrialdistribution.example,SYN-23-000018,23,"Plot 28, Commercial Zone","Sector 7, Indore Business District",Indore,Madhya Pradesh,452112,India,6,560000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
19,CUST0019,Redwood Process Industries,Industrial,Vikram Shah,080-4108019,procurement@redwoodprocessindustries.example,SYN-29-000019,29,"Plot 29, Business Park","Sector 8, Bengaluru Business District",Bengaluru,Karnataka,560112,India,2,3875000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
20,CUST0020,Meadowline Process Industries,Industrial,Siddharth Shah,0870-4108020,commercial@meadowlineprocessindustries.example,SYN-36-000020,36,"Plot 30, Industrial Area",,Warangal,Telangana,506105,India,4,1894000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
21,CUST0021,Cedarpoint Auto & Machinery,Dealer,Aditya Shah,0731-4108021,accounts@cedarpointautomachinery.example,SYN-23-000021,23,"Plot 31, Industrial Estate","Sector 10, Bhopal Business District",Bhopal,Madhya Pradesh,462103,India,3,2885000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
22,CUST0022,Highland Auto & Machinery,Dealer,Rahul Shah,0291-4108022,sales@highlandautomachinery.example,SYN-08-000022,08,"Plot 32, Logistics Park","Sector 11, Jaipur Business District",Jaipur,Rajasthan,302100,India,4,3661000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
23,CUST0023,Brookfield Industrial Distribution,Distributor,Neeraj Shah,0253-4108023,commercial@brookfieldindustrialdistribution.example,SYN-27-000023,27,"Plot 33, Commercial Zone","Sector 12, Navi Mumbai Business District",Navi Mumbai,Maharashtra,400126,India,1,1281000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
24,CUST0024,Eastmark Industrial Distribution,Distributor,Amit Shah,0281-4108024,orders@eastmarkindustrialdistribution.example,SYN-24-000024,24,"Plot 34, Business Park",,Vadodara,Gujarat,390129,India,3,2503000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
25,CUST0025,Fairview Industrial Distribution,Distributor,Aarav Kapoor,0120-4108025,sales@fairviewindustrialdistribution.example,SYN-09-000025,09,"Plot 35, Industrial Area","Sector 2, Lucknow Business District",Lucknow,Uttar Pradesh,226101,India,1,2634000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
26,CUST0026,Lakeside Industrial Distribution,Distributor,Ishaan Kapoor,0832-4108026,commercial@lakesideindustrialdistribution.example,SYN-30-000026,30,"Plot 36, Industrial Estate","Sector 3, Panaji Business District",Panaji,Goa,403102,India,8,1476000.0,inactive,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
27,CUST0027,Greenridge Industrial Distribution,Distributor,Rohan Kapoor,0253-4108027,orders@greenridgeindustrialdistribution.example,SYN-27-000027,27,"Plot 37, Logistics Park","Sector 4, Nashik Business District",Nashik,Maharashtra,422112,India,2,1163000.0,inactive,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
28,CUST0028,Metrocrest Process Industries,Industrial,Kunal Kapoor,080-4108028,procurement@metrocrestprocessindustries.example,SYN-29-000028,29,"Plot 38, Commercial Zone",,Mysuru,Karnataka,570111,India,3,2219000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
29,CUST0029,Ironvale Fleet Systems,OEM / Institutional,Nikhil Kapoor,020-4108029,commercial@ironvalefleetsystems.example,SYN-27-000029,27,"Plot 39, Business Park","Sector 6, Chhatrapati Sambhajinagar Business District",Chhatrapati Sambhajinagar,Maharashtra,431124,India,2,1338000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
30,CUST0030,Goldcrest Fleet Systems,OEM / Institutional,Arjun Kapoor,022-4108030,sourcing@goldcrestfleetsystems.example,SYN-27-000030,27,"Plot 40, Industrial Area","Sector 7, Navi Mumbai Business District",Navi Mumbai,Maharashtra,400121,India,3,3819000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
31,CUST0031,Sunridge Process Industries,Industrial,Vikram Kapoor,0120-4108031,procurement@sunridgeprocessindustries.example,SYN-09-000031,09,"Plot 41, Industrial Estate","Sector 8, Lucknow Business District",Lucknow,Uttar Pradesh,226107,India,3,3443000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
32,CUST0032,Brightfield Auto & Machinery,Dealer,Siddharth Kapoor,0712-4108032,commercial@brightfieldautomachinery.example,SYN-27-000032,27,"Plot 42, Logistics Park",,Pune,Maharashtra,411130,India,3,2071000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
33,CUST0033,Maplebridge Auto & Machinery,Dealer,Aditya Kapoor,011-4108033,accounts@maplebridgeautomachinery.example,SYN-07-000033,07,"Plot 43, Commercial Zone","Sector 10, New Delhi Business District",New Delhi,Delhi,110106,India,6,3668000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
34,CUST0034,Parkstone Fleet Systems,OEM / Institutional,Rahul Kapoor,0755-4108034,procurement@parkstonefleetsystems.example,SYN-23-000034,23,"Plot 44, Business Park","Sector 11, Bhopal Business District",Bhopal,Madhya Pradesh,462109,India,1,2079000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
35,CUST0035,Riveroak Industrial Distribution,Distributor,Neeraj Kapoor,0731-4108035,commercial@riveroakindustrialdistribution.example,SYN-23-000035,23,"Plot 45, Industrial Area","Sector 12, Bhopal Business District",Bhopal,Madhya Pradesh,462117,India,1,1321000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
36,CUST0036,Crownfield Fleet Systems,OEM / Institutional,Amit Kapoor,0712-4108036,sourcing@crownfieldfleetsystems.example,SYN-27-000036,27,"Plot 46, Industrial Estate",,Navi Mumbai,Maharashtra,400136,India,2,2666000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
37,CUST0037,Falconridge Process Industries,Industrial,Aarav Patel,080-4108037,procurement@falconridgeprocessindustries.example,SYN-29-000037,29,"Plot 47, Logistics Park","Sector 2, Bengaluru Business District",Bengaluru,Karnataka,560103,India,3,9025000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
38,CUST0038,Horizon Process Industries,Industrial,Ishaan Patel,0265-4108038,commercial@horizonprocessindustries.example,SYN-24-000038,24,"Plot 48, Commercial Zone","Sector 3, Rajkot Business District",Rajkot,Gujarat,360127,India,2,1489000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
39,CUST0039,Meridian Industrial Distribution,Distributor,Rohan Patel,044-4108039,orders@meridianindustrialdistribution.example,SYN-33-000039,33,"Plot 49, Business Park","Sector 4, Chennai Business District",Chennai,Tamil Nadu,600102,India,3,2416000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
40,CUST0040,Granite Auto & Machinery,Dealer,Kunal Patel,0712-4108040,sales@graniteautomachinery.example,SYN-27-000040,27,"Plot 50, Industrial Area",,Chhatrapati Sambhajinagar,Maharashtra,431109,India,3,257000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
41,CUST0041,Oakfield Fleet Systems,OEM / Institutional,Nikhil Patel,020-4108041,commercial@oakfieldfleetsystems.example,SYN-27-000041,27,"Plot 51, Industrial Estate","Sector 6, Pune Business District",Pune,Maharashtra,411135,India,6,2410000.0,inactive,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
42,CUST0042,Westgate Industrial Distribution,Distributor,Arjun Patel,022-4108042,orders@westgateindustrialdistribution.example,SYN-27-000042,27,"Plot 52, Logistics Park","Sector 7, Pune Business District",Pune,Maharashtra,411115,India,4,6642000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
43,CUST0043,Blueharbor Auto & Machinery,Dealer,Vikram Patel,0253-4108043,sales@blueharborautomachinery.example,SYN-27-000043,27,"Plot 53, Commercial Zone","Sector 8, Nashik Business District",Nashik,Maharashtra,422107,India,2,2179000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
44,CUST0044,Crestwood Process Industries,Industrial,Siddharth Patel,0832-4108044,commercial@crestwoodprocessindustries.example,SYN-30-000044,30,"Plot 54, Business Park",,Panaji,Goa,403104,India,5,3187000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
45,CUST0045,Northstar Industrial Distribution,Distributor,Aditya Patel,044-4108045,orders@northstarindustrialdistribution.example,SYN-33-000045,33,"Plot 55, Industrial Area","Sector 10, Chennai Business District",Chennai,Tamil Nadu,600100,India,4,4603000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
46,CUST0046,Aspenridge Fleet Systems,OEM / Institutional,Rahul Patel,0291-4108046,procurement@aspenridgefleetsystems.example,SYN-08-000046,08,"Plot 56, Industrial Estate","Sector 11, Jodhpur Business District",Jodhpur,Rajasthan,342105,India,5,2379000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
47,CUST0047,Silverline Industrial Distribution,Distributor,Neeraj Patel,0731-4108047,commercial@silverlineindustrialdistribution.example,SYN-23-000047,23,"Plot 57, Logistics Park","Sector 12, Indore Business District",Indore,Madhya Pradesh,452118,India,3,2726000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
48,CUST0048,Summitgate Process Industries,Industrial,Amit Patel,0712-4108048,operations@summitgateprocessindustries.example,SYN-27-000048,27,"Plot 58, Commercial Zone",,Pune,Maharashtra,411120,India,6,2177000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
49,CUST0049,Pinecrest Industrial Distribution,Distributor,Aarav Joshi,0141-4108049,sales@pinecrestindustrialdistribution.example,SYN-08-000049,08,"Plot 59, Business Park","Sector 2, Jaipur Business District",Jaipur,Rajasthan,302104,India,3,5648000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
50,CUST0050,Clearbrook Industrial Distribution,Distributor,Ishaan Joshi,0291-4108050,commercial@clearbrookindustrialdistribution.example,SYN-08-000050,08,"Plot 60, Industrial Area","Sector 3, Jaipur Business District",Jaipur,Rajasthan,302102,India,3,7176000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
51,CUST0051,Evergreen Fleet Systems,OEM / Institutional,Rohan Joshi,044-4108051,sourcing@evergreenfleetsystems.example,SYN-33-000051,33,"Plot 61, Industrial Estate","Sector 4, Coimbatore Business District",Coimbatore,Tamil Nadu,641107,India,5,2260000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
52,CUST0052,Hillmark Industrial Distribution,Distributor,Kunal Joshi,0712-4108052,sales@hillmarkindustrialdistribution.example,SYN-27-000052,27,"Plot 62, Logistics Park",,Pune,Maharashtra,411110,India,3,1655000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
53,CUST0053,Stonegate Fleet Systems,OEM / Institutional,Nikhil Joshi,079-4108053,commercial@stonegatefleetsystems.example,SYN-24-000053,24,"Plot 63, Commercial Zone","Sector 6, Rajkot Business District",Rajkot,Gujarat,360111,India,3,3585000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
54,CUST0054,Ridgefield Process Industries,Industrial,Arjun Joshi,0291-4108054,operations@ridgefieldprocessindustries.example,SYN-08-000054,08,"Plot 64, Business Park","Sector 7, Jaipur Business District",Jaipur,Rajasthan,302112,India,5,4932000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
55,CUST0055,Brightstone Process Industries,Industrial,Vikram Joshi,080-4108055,procurement@brightstoneprocessindustries.example,SYN-29-000055,29,"Plot 65, Industrial Area","Sector 8, Bengaluru Business District",Bengaluru,Karnataka,560115,India,6,2192000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
56,CUST0056,Grandridge Industrial Distribution,Distributor,Siddharth Joshi,0712-4108056,commercial@grandridgeindustrialdistribution.example,SYN-27-000056,27,"Plot 66, Industrial Estate",,Chhatrapati Sambhajinagar,Maharashtra,431129,India,2,1061000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
57,CUST0057,Linden Industrial Distribution,Distributor,Aditya Joshi,0821-4108057,orders@lindenindustrialdistribution.example,SYN-29-000057,29,"Plot 67, Logistics Park","Sector 10, Hubballi Business District",Hubballi,Karnataka,580122,India,3,2417000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
58,CUST0058,Redcrest Industrial Distribution,Distributor,Rahul Joshi,022-4108058,sales@redcrestindustrialdistribution.example,SYN-27-000058,27,"Plot 68, Commercial Zone","Sector 11, Nashik Business District",Nashik,Maharashtra,422102,India,4,7305000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
59,CUST0059,Westfield Fleet Systems,OEM / Institutional,Neeraj Joshi,0141-4108059,commercial@westfieldfleetsystems.example,SYN-08-000059,08,"Plot 69, Business Park","Sector 12, Jaipur Business District",Jaipur,Rajasthan,302110,India,4,2252000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
60,CUST0060,Eastbridge Process Industries,Industrial,Amit Joshi,0281-4108060,operations@eastbridgeprocessindustries.example,SYN-24-000060,24,"Plot 70, Industrial Area",,Vadodara,Gujarat,390105,India,8,1570000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
61,CUST0061,Oakstone Industrial Distribution,Distributor,Aarav Verma,0731-4108061,sales@oakstoneindustrialdistribution.example,SYN-23-000061,23,"Plot 71, Industrial Estate","Sector 2, Bhopal Business District",Bhopal,Madhya Pradesh,462105,India,4,1107000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
62,CUST0062,Rivercrest Process Industries,Industrial,Ishaan Verma,0422-4108062,commercial@rivercrestprocessindustries.example,SYN-33-000062,33,"Plot 72, Logistics Park","Sector 3, Chennai Business District",Chennai,Tamil Nadu,600108,India,3,1249000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
63,CUST0063,Highpoint Fleet Systems,OEM / Institutional,Rohan Verma,0141-4108063,sourcing@highpointfleetsystems.example,SYN-08-000063,08,"Plot 73, Commercial Zone","Sector 4, Jaipur Business District",Jaipur,Rajasthan,302106,India,2,1027000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
64,CUST0064,Fairmont Industrial Distribution,Distributor,Kunal Verma,0832-4108064,sales@fairmontindustrialdistribution.example,SYN-30-000064,30,"Plot 74, Business Park",,Margao,Goa,403103,India,3,1298000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
65,CUST0065,Bluefield Auto & Machinery,Dealer,Nikhil Verma,0836-4108065,commercial@bluefieldautomachinery.example,SYN-29-000065,29,"Plot 75, Industrial Area","Sector 6, Hubballi Business District",Hubballi,Karnataka,580101,India,4,3107000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
66,CUST0066,Cedarcrest Process Industries,Industrial,Arjun Verma,0870-4108066,operations@cedarcrestprocessindustries.example,SYN-36-000066,36,"Plot 76, Industrial Estate","Sector 7, Hyderabad Business District",Hyderabad,Telangana,500104,India,7,803000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
67,CUST0067,Northgate Industrial Distribution,Distributor,Vikram Verma,040-4108067,sales@northgateindustrialdistribution.example,SYN-36-000067,36,"Plot 77, Logistics Park","Sector 8, Hyderabad Business District",Hyderabad,Telangana,500100,India,2,6110000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
68,CUST0068,Greenstone Process Industries,Industrial,Siddharth Verma,0836-4108068,commercial@greenstoneprocessindustries.example,SYN-29-000068,29,"Plot 78, Commercial Zone",,Hubballi,Karnataka,580104,India,7,3677000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
69,CUST0069,Primebridge Fleet Systems,OEM / Institutional,Aditya Verma,044-4108069,sourcing@primebridgefleetsystems.example,SYN-33-000069,33,"Plot 79, Business Park","Sector 10, Coimbatore Business District",Coimbatore,Tamil Nadu,641105,India,2,11662000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
70,CUST0070,Ironridge Auto & Machinery,Dealer,Rahul Verma,0755-4108070,sales@ironridgeautomachinery.example,SYN-23-000070,23,"Plot 10, Industrial Area","Sector 11, Indore Business District",Indore,Madhya Pradesh,452108,India,5,243000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
71,CUST0071,Silvercrest Fleet Systems,OEM / Institutional,Neeraj Verma,040-4108071,commercial@silvercrestfleetsystems.example,SYN-36-000071,36,"Plot 11, Industrial Estate","Sector 12, Hyderabad Business District",Hyderabad,Telangana,500106,India,4,3548000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
72,CUST0072,Maplefield Industrial Distribution,Distributor,Amit Verma,0755-4108072,orders@maplefieldindustrialdistribution.example,SYN-23-000072,23,"Plot 12, Logistics Park",,Bhopal,Madhya Pradesh,462115,India,5,1267000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
73,CUST0073,Crestline Process Industries,Industrial,Aarav Malhotra,020-4108073,procurement@crestlineprocessindustries.example,SYN-27-000073,27,"Plot 13, Commercial Zone","Sector 2, Navi Mumbai Business District",Navi Mumbai,Maharashtra,400101,India,4,1901000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
74,CUST0074,Pinebridge Process Industries,Industrial,Ishaan Malhotra,022-4108074,commercial@pinebridgeprocessindustries.example,SYN-27-000074,27,"Plot 14, Business Park","Sector 3, Navi Mumbai Business District",Navi Mumbai,Maharashtra,400106,India,5,4950000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
75,CUST0075,Meadowcrest Auto & Machinery,Dealer,Rohan Malhotra,0832-4108075,accounts@meadowcrestautomachinery.example,SYN-30-000075,30,"Plot 15, Industrial Area","Sector 4, Panaji Business District",Panaji,Goa,403100,India,4,1904000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
76,CUST0076,Stonebridge Process Industries,Industrial,Kunal Malhotra,0291-4108076,procurement@stonebridgeprocessindustries.example,SYN-08-000076,08,"Plot 16, Industrial Estate",,Jaipur,Rajasthan,302108,India,3,2604000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
77,CUST0077,Grandfield Industrial Distribution,Distributor,Nikhil Malhotra,040-4108077,commercial@grandfieldindustrialdistribution.example,SYN-36-000077,36,"Plot 17, Logistics Park","Sector 6, Hyderabad Business District",Hyderabad,Telangana,500110,India,6,1389000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
78,CUST0078,Harborcrest Process Industries,Industrial,Arjun Malhotra,0512-4108078,operations@harborcrestprocessindustries.example,SYN-09-000078,09,"Plot 18, Commercial Zone","Sector 7, Noida Business District",Noida,Uttar Pradesh,201100,India,4,2416000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
79,CUST0079,Redbridge Fleet Systems,OEM / Institutional,Vikram Malhotra,080-4108079,procurement@redbridgefleetsystems.example,SYN-29-000079,29,"Plot 19, Business Park","Sector 8, Mysuru Business District",Mysuru,Karnataka,570117,India,4,2706000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
80,CUST0080,Clearfield Process Industries,Industrial,Siddharth Malhotra,0836-4108080,commercial@clearfieldprocessindustries.example,SYN-29-000080,29,"Plot 20, Industrial Area",,Mysuru,Karnataka,570123,India,8,5553000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
81,CUST0081,Westcrest Fleet Systems,OEM / Institutional,Aditya Malhotra,011-4108081,sourcing@westcrestfleetsystems.example,SYN-07-000081,07,"Plot 21, Industrial Estate","Sector 10, New Delhi Business District",New Delhi,Delhi,110105,India,6,3898000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
82,CUST0082,Summitfield Auto & Machinery,Dealer,Rahul Malhotra,022-4108082,sales@summitfieldautomachinery.example,SYN-27-000082,27,"Plot 22, Logistics Park","Sector 11, Pune Business District",Pune,Maharashtra,411100,India,5,880000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
83,CUST0083,Oakbridge Auto & Machinery,Dealer,Neeraj Malhotra,0253-4108083,commercial@oakbridgeautomachinery.example,SYN-27-000083,27,"Plot 23, Commercial Zone","Sector 12, Nagpur Business District",Nagpur,Maharashtra,440138,India,2,3501000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
84,CUST0084,Ridgecrest Auto & Machinery,Dealer,Amit Malhotra,0281-4108084,accounts@ridgecrestautomachinery.example,SYN-24-000084,24,"Plot 24, Business Park",,Vadodara,Gujarat,390117,India,7,2152000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
85,CUST0085,Everfield Industrial Distribution,Distributor,Aarav Nair,080-4108085,sales@everfieldindustrialdistribution.example,SYN-29-000085,29,"Plot 25, Industrial Area","Sector 2, Hubballi Business District",Hubballi,Karnataka,580113,India,1,1494000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
86,CUST0086,Northcrest Industrial Distribution,Distributor,Ishaan Nair,0265-4108086,commercial@northcrestindustrialdistribution.example,SYN-24-000086,24,"Plot 26, Industrial Estate","Sector 3, Vadodara Business District",Vadodara,Gujarat,390109,India,5,2475000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
87,CUST0087,Brightbridge Fleet Systems,OEM / Institutional,Rohan Nair,0731-4108087,sourcing@brightbridgefleetsystems.example,SYN-23-000087,23,"Plot 27, Logistics Park","Sector 4, Indore Business District",Indore,Madhya Pradesh,452106,India,4,4821000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
88,CUST0088,Lakecrest Process Industries,Industrial,Kunal Nair,0281-4108088,procurement@lakecrestprocessindustries.example,SYN-24-000088,24,"Plot 28, Commercial Zone",,Surat,Gujarat,395102,India,3,4831000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
