product_supplier_id,product_id,supplier_id,supplier_product_code,supplier_product_name,purchase_uom_id,unit_purchase_price,minimum_order_quantity,lead_time_days,is_primary_source,relationship_status,effective_from,effective_to,created_date,created_by,updated_date,updated_by
12,6,18,SUP018-AEO-0006,Stonebridge DriveCore 5W-30 (20 L),6,5365.23,8.0,7,False,active,2025-07-15,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
13,6,2,SUP002-AEO-0006,Stonebridge DriveCore 5W-30 (20 L),6,4990.06,7.0,13,True,active,2025-08-28,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
14,7,16,SUP016-AEO-0007,Ridgewell EngineMax 5W-30 (25 L),6,6336.13,7.0,3,True,active,2024-11-25,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
15,7,3,SUP003-AEO-0007,Ridgewell EngineMax 5W-30 (25 L),6,6070.47,5.0,7,False,active,2024-07-14,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
16,8,7,SUP007-AEO-0008,Millbrook AutoPrime 5W-30 (30 L),6,6935.04,6.0,13,False,active,2025-08-18,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
17,8,5,SUP005-AEO-0008,Millbrook AutoPrime 5W-30 (30 L),6,7023.32,6.0,15,True,active,2024-05-16,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
18,9,17,SUP017-AEO-0009,Highpoint RoadShield 5W-40 (50 L),6,13005.58,2.0,9,False,active,2024-03-06,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
19,9,11,SUP011-AEO-0009,Highpoint RoadShield 5W-40 (50 L),6,12740.75,2.0,8,True,active,2024-10-17,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
20,9,5,SUP005-AEO-0009,Highpoint RoadShield 5W-40 (50 L),6,11803.89,2.0,12,False,active,2025-10-06,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
21,9,3,SUP003-AEO-0009,Highpoint RoadShield 5W-40 (50 L),6,11568.43,2.0,11,False,active,2024-11-11,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
22,10,5,SUP005-AEO-0010,Fieldmark DriveCore 5W-40 (55 L),6,13219.87,2.0,12,False,active,2024-12-16,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
23,10,13,SUP013-AEO-0010,Fieldmark DriveCore 5W-40 (55 L),6,14763.96,2.0,3,True,active,2025-03-07,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
24,10,1,SUP001-AEO-0010,Fieldmark DriveCore 5W-40 (55 L),6,13229.37,2.0,10,False,active,2024-07-11,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
25,11,12,SUP012-AEO-0011,Northmark EngineMax 5W-40 (180 L),6,43812.93,3.0,8,False,active,2025-08-21,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
26,11,16,SUP016-AEO-0011,Northmark EngineMax 5W-40 (180 L),6,48261.27,2.0,5,True,active,2024-06-06,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
27,12,8,SUP008-AEO-0012,Ironcrest AutoPrime 5W-40 (210 L),6,50262.91,1.0,11,True,active,2025-09-07,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
28,12,14,SUP014-AEO-0012,Ironcrest AutoPrime 5W-40 (210 L),6,52235.6,1.0,6,False,active,2025-04-13,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
29,12,11,SUP011-AEO-0012,Ironcrest AutoPrime 5W-40 (210 L),6,53983.65,1.0,10,False,active,2024-06-02,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
30,13,13,SUP013-AEO-0013,Redstone RoadShield 10W-40 (1000 L),1,229.2,1000.0,8,True,active,2024-06-13,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
31,13,5,SUP005-AEO-0013,Redstone RoadShield 10W-40 (1000 L),1,216.74,900.0,11,False,active,2024-08-14,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
32,13,8,SUP008-AEO-0013,Redstone RoadShield 10W-40 (1000 L),1,228.02,1000.0,14,False,active,2025-10-04,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
33,14,7,SUP007-AEO-0014,Westmark DriveCore 10W-40 (800 ML),6,187.66,14.0,12,True,active,2025-09-10,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
34,15,14,SUP014-AEO-0015,Crestfield EngineMax 10W-40 (1 L),6,266.53,15.0,4,True,active,2024-03-08,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
35,15,12,SUP012-AEO-0015,Crestfield EngineMax 10W-40 (1 L),6,256.19,15.0,10,False,active,2024-02-15,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
36,16,11,SUP011-AEO-0016,Stonebridge AutoPrime 10W-40 (1.2 L),6,315.35,12.0,6,False,active,2025-03-31,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
37,16,8,SUP008-AEO-0016,Stonebridge AutoPrime 10W-40 (1.2 L),6,293.67,13.0,13,True,active,2025-10-09,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
38,17,8,SUP008-AEO-0017,Ridgewell RoadShield 0W-20 (3 L),6,728.28,13.0,12,False,inactive,2024-06-20,2025-01-15,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
39,17,14,SUP014-AEO-0017,Ridgewell RoadShield 0W-20 (3 L),6,771.4,14.0,6,False,inactive,2024-09-03,2025-12-31,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
40,18,11,SUP011-AEO-0018,Millbrook DriveCore 0W-20 (5 L),6,1249.59,7.0,6,False,active,2025-04-04,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
41,18,6,SUP006-AEO-0018,Millbrook DriveCore 0W-20 (5 L),6,1135.2,7.0,7,True,active,2025-03-05,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
42,19,13,SUP013-AEO-0019,Highpoint EngineMax 0W-20 (10 L),6,2561.19,7.0,3,True,active,2024-11-24,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
43,20,8,SUP008-AEO-0020,Fieldmark AutoPrime 0W-20 (15 L),6,3515.39,7.0,12,False,active,2024-02-12,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
44,20,16,SUP016-AEO-0020,Fieldmark AutoPrime 0W-20 (15 L),6,3817.14,6.0,7,False,active,2024-05-06,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
45,20,14,SUP014-AEO-0020,Fieldmark AutoPrime 0W-20 (15 L),6,3848.59,8.0,5,True,active,2025-02-01,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
46,21,1,SUP001-AEO-0021,Northmark RoadShield 5W-30 (20 L),6,4761.36,6.0,8,False,active,2025-04-15,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
47,21,11,SUP011-AEO-0021,Northmark RoadShield 5W-30 (20 L),6,5059.75,7.0,9,True,active,2025-05-22,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
48,21,8,SUP008-AEO-0021,Northmark RoadShield 5W-30 (20 L),6,4821.72,7.0,11,False,active,2024-08-14,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
49,22,7,SUP007-AEO-0022,Ironcrest DriveCore 5W-30 (25 L),6,5743.54,6.0,9,False,inactive,2024-01-04,2025-02-01,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
50,22,11,SUP011-AEO-0022,Ironcrest DriveCore 5W-30 (25 L),6,6601.1,6.0,5,False,inactive,2024-11-06,2025-06-13,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
51,23,2,SUP002-AEO-0023,Redstone EngineMax 5W-30 (30 L),6,7021.65,7.0,9,True,active,2024-07-31,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
52,23,5,SUP005-AEO-0023,Redstone EngineMax 5W-30 (30 L),6,7107.52,7.0,11,False,active,2024-07-10,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
53,24,16,SUP016-AEO-0024,Westmark AutoPrime 5W-30 (50 L),6,12855.37,2.0,6,True,active,2025-06-05,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
54,24,14,SUP014-AEO-0024,Westmark AutoPrime 5W-30 (50 L),6,12404.19,2.0,4,False,active,2024-10-28,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
55,25,8,SUP008-AEO-0025,Crestfield RoadShield 5W-40 (55 L),6,13511.6,2.0,10,False,active,2025-03-12,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
56,25,6,SUP006-AEO-0025,Crestfield RoadShield 5W-40 (55 L),6,13426.83,2.0,7,True,active,2025-07-10,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
57,26,14,SUP014-AEO-0026,Stonebridge DriveCore 5W-40 (180 L),6,42746.97,2.0,3,False,active,2024-08-14,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
58,26,4,SUP004-AEO-0026,Stonebridge DriveCore 5W-40 (180 L),6,41972.19,2.0,5,True,active,2025-10-09,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
59,27,7,SUP007-AEO-0027,Ridgewell EngineMax 5W-40 (210 L),6,48343.49,1.0,14,False,inactive,2024-08-05,2025-08-24,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
60,27,11,SUP011-AEO-0027,Ridgewell EngineMax 5W-40 (210 L),6,53273.86,1.0,7,False,inactive,2024-07-19,2025-07-03,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
61,28,3,SUP003-AEO-0028,Millbrook AutoPrime 5W-40 (1000 L),1,208.39,800.0,10,False,inactive,2024-03-31,2025-05-17,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
62,28,14,SUP014-AEO-0028,Millbrook AutoPrime 5W-40 (1000 L),1,230.24,1200.0,4,False,inactive,2024-11-07,2025-02-12,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
63,29,1,SUP001-AEO-0029,Highpoint RoadShield 10W-40 (800 ML),6,186.05,11.0,9,False,active,2024-05-07,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
64,29,5,SUP005-AEO-0029,Highpoint RoadShield 10W-40 (800 ML),6,194.58,13.0,14,False,active,2025-09-27,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
65,29,10,SUP010-AEO-0029,Highpoint RoadShield 10W-40 (800 ML),6,199.3,14.0,6,True,active,2024-09-05,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
66,30,6,SUP006-AEO-0030,Fieldmark DriveCore 10W-40 (1 L),6,249.05,11.0,11,False,active,2025-03-17,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
67,30,15,SUP015-AEO-0030,Fieldmark DriveCore 10W-40 (1 L),6,273.92,14.0,9,True,active,2025-07-28,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
68,31,5,SUP005-AEO-0031,Northmark EngineMax 10W-40 (1.2 L),6,292.66,10.0,15,False,active,2024-06-03,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
69,31,6,SUP006-AEO-0031,Northmark EngineMax 10W-40 (1.2 L),6,299.57,11.0,8,True,active,2024-02-22,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
70,31,3,SUP003-AEO-0031,Northmark EngineMax 10W-40 (1.2 L),6,270.97,14.0,9,False,active,2025-07-17,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
71,32,6,SUP006-AEO-0032,Ironcrest AutoPrime 10W-40 (3 L),6,737.46,14.0,10,False,inactive,2024-07-23,2025-09-14,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
72,32,2,SUP002-AEO-0032,Ironcrest AutoPrime 10W-40 (3 L),6,701.13,12.0,9,False,inactive,2025-01-23,2025-06-18,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
73,32,18,SUP018-AEO-0032,Ironcrest AutoPrime 10W-40 (3 L),6,811.06,15.0,4,False,inactive,2024-01-20,2025-07-11,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
74,33,6,SUP006-AEO-0033,Redstone RoadShield 0W-20 (5 L),6,1197.08,6.0,7,True,active,2024-12-04,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
75,33,16,SUP016-AEO-0033,Redstone RoadShield 0W-20 (5 L),6,1413.22,7.0,5,False,active,2024-05-28,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
76,34,5,SUP005-AEO-0034,Westmark DriveCore 0W-20 (10 L),6,2396.35,7.0,11,False,active,2025-03-10,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
77,34,3,SUP003-AEO-0034,Westmark DriveCore 0W-20 (10 L),6,2325.07,6.0,12,False,active,2024-03-16,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
78,34,1,SUP001-AEO-0034,Westmark DriveCore 0W-20 (10 L),6,2428.66,7.0,7,True,active,2024-12-09,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
79,34,2,SUP002-AEO-0034,Westmark DriveCore 0W-20 (10 L),6,2503.96,7.0,12,False,active,2025-03-26,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
80,35,5,SUP005-AEO-0035,Crestfield EngineMax 0W-20 (15 L),6,3423.16,7.0,13,False,active,2025-03-01,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
81,35,3,SUP003-AEO-0035,Crestfield EngineMax 0W-20 (15 L),6,3649.55,7.0,12,True,active,2024-05-15,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
82,36,8,SUP008-AEO-0036,Stonebridge AutoPrime 0W-20 (20 L),6,4683.33,7.0,8,False,active,2024-01-10,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
83,36,11,SUP011-AEO-0036,Stonebridge AutoPrime 0W-20 (20 L),6,4981.43,7.0,8,False,active,2025-12-13,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
84,36,3,SUP003-AEO-0036,Stonebridge AutoPrime 0W-20 (20 L),6,4680.99,5.0,10,False,active,2025-06-23,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
85,36,13,SUP013-AEO-0036,Stonebridge AutoPrime 0W-20 (20 L),6,5110.39,7.0,6,True,active,2025-03-28,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
86,37,9,SUP009-AEO-0037,Ridgewell RoadShield 5W-30 (25 L),6,6669.59,7.0,3,True,active,2025-11-24,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
87,38,10,SUP010-AEO-0038,Millbrook DriveCore 5W-30 (30 L),6,7558.39,7.0,6,True,active,2024-05-29,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
88,39,15,SUP015-AEO-0039,Highpoint EngineMax 5W-30 (50 L),6,13787.62,2.0,4,True,active,2025-12-23,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
89,39,8,SUP008-AEO-0039,Highpoint EngineMax 5W-30 (50 L),6,12442.28,2.0,12,False,active,2025-01-19,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
90,39,2,SUP002-AEO-0039,Highpoint EngineMax 5W-30 (50 L),6,11418.26,2.0,12,False,active,2025-06-06,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
91,40,13,SUP013-AEO-0040,Fieldmark AutoPrime 5W-30 (55 L),6,14286.57,2.0,4,False,inactive,2024-10-16,2025-12-14,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
92,40,10,SUP010-AEO-0040,Fieldmark AutoPrime 5W-30 (55 L),6,14895.98,3.0,3,False,inactive,2024-07-06,2025-03-29,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
93,41,5,SUP005-AEO-0041,Northmark RoadShield 5W-40 (180 L),6,41273.75,2.0,11,True,active,2024-03-18,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
94,42,14,SUP014-AEO-0042,Ironcrest DriveCore 5W-40 (210 L),6,50704.5,1.0,7,True,active,2025-09-20,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
95,43,3,SUP003-AEO-0043,Redstone EngineMax 5W-40 (1000 L),1,219.07,900.0,11,True,active,2024-02-23,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
96,44,6,SUP006-AEO-0044,Westmark AutoPrime 5W-40 (800 ML),6,184.68,14.0,10,False,active,2025-02-19,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
97,44,18,SUP018-AEO-0044,Westmark AutoPrime 5W-40 (800 ML),6,223.13,13.0,5,True,active,2024-03-24,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
98,45,4,SUP004-AEO-0045,Crestfield RoadShield 10W-40 (1 L),6,250.39,14.0,6,True,active,2025-08-30,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
99,46,16,SUP016-AEO-0046,Stonebridge DriveCore 10W-40 (1.2 L),6,319.49,14.0,4,True,active,2024-02-28,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
100,46,3,SUP003-AEO-0046,Stonebridge DriveCore 10W-40 (1.2 L),6,299.23,14.0,12,False,active,2024-09-15,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
101,47,1,SUP001-AEO-0047,Ridgewell EngineMax 10W-40 (3 L),6,688.41,10.0,10,True,active,2025-01-20,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
102,47,7,SUP007-AEO-0047,Ridgewell EngineMax 10W-40 (3 L),6,736.04,11.0,12,False,active,2025-07-13,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
103,48,10,SUP010-AEO-0048,Millbrook AutoPrime 10W-40 (5 L),6,1269.0,7.0,7,False,active,2025-08-04,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
104,48,2,SUP002-AEO-0048,Millbrook AutoPrime 10W-40 (5 L),6,1147.63,6.0,8,True,active,2024-04-24,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
105,48,9,SUP009-AEO-0048,Millbrook AutoPrime 10W-40 (5 L),6,1227.71,7.0,7,False,active,2024-07-04,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
106,48,6,SUP006-AEO-0048,Millbrook AutoPrime 10W-40 (5 L),6,1197.3,6.0,10,False,active,2024-01-20,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
107,49,3,SUP003-AEO-0049,Highpoint RoadShield 0W-20 (10 L),6,2319.49,6.0,10,False,active,2024-08-04,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
108,49,5,SUP005-AEO-0049,Highpoint RoadShield 0W-20 (10 L),6,2324.4,7.0,15,False,active,2024-04-24,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
109,49,4,SUP004-AEO-0049,Highpoint RoadShield 0W-20 (10 L),6,2440.13,7.0,8,True,active,2024-01-25,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
110,50,11,SUP011-AEO-0050,Fieldmark DriveCore 0W-20 (15 L),6,3884.09,7.0,8,True,active,2025-03-27,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
111,50,5,SUP005-AEO-0050,Fieldmark DriveCore 0W-20 (15 L),6,3762.7,5.0,13,False,active,2024-12-28,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
112,50,2,SUP002-AEO-0050,Fieldmark DriveCore 0W-20 (15 L),6,3669.56,6.0,13,False,active,2024-10-02,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
113,51,16,SUP016-AEO-0051,Northmark EngineMax 0W-20 (20 L),6,5184.48,9.0,8,True,active,2024-09-02,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
114,52,8,SUP008-AEO-0052,Ironcrest AutoPrime 0W-20 (25 L),6,5924.0,7.0,10,False,active,2025-08-15,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
115,52,1,SUP001-AEO-0052,Ironcrest AutoPrime 0W-20 (25 L),6,5722.84,5.0,6,True,active,2025-05-10,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
116,53,6,SUP006-AEO-0053,Redstone RoadShield 5W-30 (30 L),6,7286.76,7.0,8,False,active,2025-03-24,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
117,53,8,SUP008-AEO-0053,Redstone RoadShield 5W-30 (30 L),6,6949.65,6.0,8,True,active,2024-07-25,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
118,54,17,SUP017-AEO-0054,Westmark DriveCore 5W-30 (50 L),6,13249.41,3.0,8,False,active,2025-03-31,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
119,54,8,SUP008-AEO-0054,Westmark DriveCore 5W-30 (50 L),6,12265.83,2.0,8,False,active,2025-08-10,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
120,54,11,SUP011-AEO-0054,Westmark DriveCore 5W-30 (50 L),6,13576.26,2.0,8,True,active,2025-08-31,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
121,55,4,SUP004-AEO-0055,Crestfield EngineMax 5W-30 (55 L),6,13768.94,2.0,6,False,inactive,2024-03-03,2025-03-09,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
122,56,4,SUP004-AEO-0056,Stonebridge AutoPrime 5W-30 (180 L),6,39458.64,2.0,10,False,active,2025-01-16,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
123,56,10,SUP010-AEO-0056,Stonebridge AutoPrime 5W-30 (180 L),6,42941.18,2.0,5,False,active,2024-07-11,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
124,56,16,SUP016-AEO-0056,Stonebridge AutoPrime 5W-30 (180 L),6,44140.87,2.0,7,True,active,2025-05-29,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
125,57,7,SUP007-AEO-0057,Ridgewell RoadShield 5W-40 (210 L),6,45872.26,1.0,11,True,active,2025-11-23,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
126,57,18,SUP018-AEO-0057,Ridgewell RoadShield 5W-40 (210 L),6,52948.32,1.0,4,False,active,2024-04-24,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
127,58,6,SUP006-AEO-0058,Millbrook DriveCore 5W-40 (1000 L),1,227.01,1050.0,7,False,active,2024-01-16,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
128,58,10,SUP010-AEO-0058,Millbrook DriveCore 5W-40 (1000 L),1,235.58,950.0,5,True,active,2025-08-10,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
129,58,1,SUP001-AEO-0058,Millbrook DriveCore 5W-40 (1000 L),1,222.93,900.0,9,False,active,2025-02-24,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
130,58,7,SUP007-AEO-0058,Millbrook DriveCore 5W-40 (1000 L),1,227.02,1100.0,11,False,active,2024-10-08,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
131,59,5,SUP005-AEO-0059,Highpoint EngineMax 5W-40 (800 ML),6,186.99,14.0,14,False,active,2024-01-27,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
132,59,18,SUP018-AEO-0059,Highpoint EngineMax 5W-40 (800 ML),6,224.48,14.0,5,False,active,2024-11-26,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
133,59,9,SUP009-AEO-0059,Highpoint EngineMax 5W-40 (800 ML),6,217.2,13.0,5,True,active,2025-10-19,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
134,60,10,SUP010-AEO-0060,Fieldmark AutoPrime 5W-40 (1 L),6,268.18,12.0,5,True,active,2025-06-24,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
135,60,1,SUP001-AEO-0060,Fieldmark AutoPrime 5W-40 (1 L),6,240.21,14.0,10,False,active,2024-06-27,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
136,61,15,SUP015-AEO-0061,Northmark RoadShield 10W-40 (1.2 L),6,333.8,18.0,4,True,active,2024-10-24,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
137,61,13,SUP013-AEO-0061,Northmark RoadShield 10W-40 (1.2 L),6,305.89,15.0,3,False,active,2024-03-05,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
138,61,3,SUP003-AEO-0061,Northmark RoadShield 10W-40 (1.2 L),6,296.53,11.0,11,False,active,2024-07-23,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
139,62,10,SUP010-AEO-0062,Ironcrest DriveCore 10W-40 (3 L),6,734.83,16.0,7,True,active,2024-05-04,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
140,63,11,SUP011-AEO-0063,Redstone EngineMax 10W-40 (5 L),6,1237.78,8.0,8,False,inactive,2024-12-04,2025-05-05,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
141,63,14,SUP014-AEO-0063,Redstone EngineMax 10W-40 (5 L),6,1294.41,6.0,4,False,inactive,2024-03-22,2025-02-03,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
142,63,17,SUP017-AEO-0063,Redstone EngineMax 10W-40 (5 L),6,1360.07,7.0,9,False,inactive,2024-06-30,2025-03-29,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
143,64,9,SUP009-AEO-0064,Westmark AutoPrime 10W-40 (10 L),6,2595.73,7.0,5,False,inactive,2024-08-02,2025-06-23,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
144,64,15,SUP015-AEO-0064,Westmark AutoPrime 10W-40 (10 L),6,2576.59,7.0,9,False,inactive,2024-05-11,2025-10-28,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
