goods_receipt_id,grn_number,purchase_order_id,warehouse_id,vehicle_id,receipt_date,receipt_status,notes,created_date,created_by,updated_date,updated_by
30,GRN2026000030,26,6,135,2026-02-20,received,,2026-02-20 08:00:00,system,2026-02-20 08:00:00,system
31,GRN2026000031,28,4,31,2026-03-31,received,,2026-03-31 08:00:00,system,2026-03-31 08:00:00,system
32,GRN2026000032,28,4,,2026-04-01,received,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
33,GRN2026000033,29,6,17,2026-05-27,received,,2026-05-27 08:00:00,system,2026-05-27 08:00:00,system
34,GRN2026000034,29,6,,2026-05-30,received,,2026-05-30 08:00:00,system,2026-05-30 08:00:00,system
35,GRN2026000035,30,2,,2026-06-25,received,,2026-06-25 08:00:00,system,2026-06-25 08:00:00,system
36,GRN2026000036,30,2,129,2026-06-30,received,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
37,GRN2026000037,31,2,,2026-07-05,received,,2026-07-05 08:00:00,system,2026-07-05 08:00:00,system
38,GRN2026000038,31,2,,2026-07-10,received,,2026-07-10 08:00:00,system,2026-07-10 08:00:00,system
39,GRN2026000039,32,4,79,2026-04-13,received,,2026-04-13 08:00:00,system,2026-04-13 08:00:00,system
40,GRN2026000040,32,4,70,2026-04-18,received,,2026-04-18 08:00:00,system,2026-04-18 08:00:00,system
41,GRN2026000041,33,9,,2026-06-06,received,,2026-06-06 08:00:00,system,2026-06-06 08:00:00,system
42,GRN2026000042,34,5,89,2026-05-16,received,,2026-05-16 08:00:00,system,2026-05-16 08:00:00,system
43,GRN2026000043,34,5,,2026-05-21,received,,2026-05-21 08:00:00,system,2026-05-21 08:00:00,system
44,GRN2026000044,36,9,26,2026-01-31,received,,2026-01-31 08:00:00,system,2026-01-31 08:00:00,system
45,GRN2026000045,37,8,100,2026-03-24,received,,2026-03-24 08:00:00,system,2026-03-24 08:00:00,system
46,GRN2026000046,38,1,,2026-07-05,received,,2026-07-05 08:00:00,system,2026-07-05 08:00:00,system
47,GRN2026000047,38,1,108,2026-07-08,received,,2026-07-08 08:00:00,system,2026-07-08 08:00:00,system
48,GRN2026000048,39,5,117,2026-01-10,received,,2026-01-10 08:00:00,system,2026-01-10 08:00:00,system
49,GRN2026000049,39,5,,2026-01-12,received,,2026-01-12 08:00:00,system,2026-01-12 08:00:00,system
50,GRN2026000050,41,4,,2026-02-06,received,,2026-02-06 08:00:00,system,2026-02-06 08:00:00,system
51,GRN2026000051,42,1,63,2026-02-21,received,,2026-02-21 08:00:00,system,2026-02-21 08:00:00,system
52,GRN2026000052,44,4,130,2026-05-16,received,,2026-05-16 08:00:00,system,2026-05-16 08:00:00,system
53,GRN2026000053,46,1,108,2026-06-28,received,,2026-06-28 08:00:00,system,2026-06-28 08:00:00,system
54,GRN2026000054,46,1,,2026-06-30,received,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
55,GRN2026000055,48,5,30,2026-01-18,received,,2026-01-18 08:00:00,system,2026-01-18 08:00:00,system
56,GRN2026000056,49,1,105,2026-05-01,received,,2026-05-01 08:00:00,system,2026-05-01 08:00:00,system
57,GRN2026000057,49,1,,2026-05-05,received,,2026-05-05 08:00:00,system,2026-05-05 08:00:00,system
58,GRN2026000058,50,7,106,2026-03-14,received,,2026-03-14 08:00:00,system,2026-03-14 08:00:00,system
59,GRN2026000059,51,5,75,2026-06-14,received,,2026-06-14 08:00:00,system,2026-06-14 08:00:00,system
60,GRN2026000060,51,5,38,2026-06-15,received,,2026-06-15 08:00:00,system,2026-06-15 08:00:00,system
61,GRN2026000061,52,7,87,2026-04-03,received,,2026-04-03 08:00:00,system,2026-04-03 08:00:00,system
62,GRN2026000062,53,4,45,2026-05-15,received,,2026-05-15 08:00:00,system,2026-05-15 08:00:00,system
63,GRN2026000063,53,4,86,2026-05-18,received,,2026-05-18 08:00:00,system,2026-05-18 08:00:00,system
64,GRN2026000064,54,9,48,2026-07-08,received,,2026-07-08 08:00:00,system,2026-07-08 08:00:00,system
65,GRN2026000065,54,9,,2026-07-12,received,,2026-07-12 08:00:00,system,2026-07-12 08:00:00,system
66,GRN2026000066,54,9,68,2026-07-13,received,,2026-07-13 08:00:00,system,2026-07-13 08:00:00,system
67,GRN2026000067,55,7,85,2026-05-22,received,,2026-05-22 08:00:00,system,2026-05-22 08:00:00,system
68,GRN2026000068,57,8,70,2026-01-14,received,,2026-01-14 08:00:00,system,2026-01-14 08:00:00,system
69,GRN2026000069,60,4,130,2026-04-23,received,,2026-04-23 08:00:00,system,2026-04-23 08:00:00,system
70,GRN2026000070,62,3,93,2026-01-25,received,,2026-01-25 08:00:00,system,2026-01-25 08:00:00,system
71,GRN2026000071,65,7,,2026-02-03,received,,2026-02-03 08:00:00,system,2026-02-03 08:00:00,system
72,GRN2026000072,65,7,,2026-02-04,received,,2026-02-04 08:00:00,system,2026-02-04 08:00:00,system
73,GRN2026000073,67,9,57,2026-07-01,received,,2026-07-01 08:00:00,system,2026-07-01 08:00:00,system
74,GRN2026000074,67,9,47,2026-07-03,received,,2026-07-03 08:00:00,system,2026-07-03 08:00:00,system
75,GRN2026000075,68,3,5,2026-05-12,received,,2026-05-12 08:00:00,system,2026-05-12 08:00:00,system
76,GRN2026000076,68,3,37,2026-05-14,received,,2026-05-14 08:00:00,system,2026-05-14 08:00:00,system
77,GRN2026000077,69,9,,2026-02-22,received,,2026-02-22 08:00:00,system,2026-02-22 08:00:00,system
78,GRN2026000078,69,9,,2026-02-27,received,,2026-02-27 08:00:00,system,2026-02-27 08:00:00,system
79,GRN2026000079,70,4,97,2026-04-10,received,,2026-04-10 08:00:00,system,2026-04-10 08:00:00,system
80,GRN2026000080,71,8,31,2026-03-26,received,,2026-03-26 08:00:00,system,2026-03-26 08:00:00,system
81,GRN2026000081,75,2,52,2026-05-22,received,,2026-05-22 08:00:00,system,2026-05-22 08:00:00,system
82,GRN2026000082,76,5,7,2026-04-12,received,,2026-04-12 08:00:00,system,2026-04-12 08:00:00,system
83,GRN2026000083,78,9,80,2026-01-22,received,,2026-01-22 08:00:00,system,2026-01-22 08:00:00,system
84,GRN2026000084,79,5,106,2026-05-27,received,,2026-05-27 08:00:00,system,2026-05-27 08:00:00,system
85,GRN2026000085,80,9,20,2026-04-06,received,,2026-04-06 08:00:00,system,2026-04-06 08:00:00,system
86,GRN2026000086,80,9,64,2026-04-07,received,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
87,GRN2026000087,82,8,63,2026-02-26,received,,2026-02-26 08:00:00,system,2026-02-26 08:00:00,system
88,GRN2026000088,83,6,7,2026-02-06,received,,2026-02-06 08:00:00,system,2026-02-06 08:00:00,system
89,GRN2026000089,84,2,80,2026-04-07,received,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
90,GRN2026000090,84,2,19,2026-04-08,received,,2026-04-08 08:00:00,system,2026-04-08 08:00:00,system
91,GRN2026000091,85,6,,2026-01-12,received,,2026-01-12 08:00:00,system,2026-01-12 08:00:00,system
92,GRN2026000092,85,6,82,2026-01-13,received,,2026-01-13 08:00:00,system,2026-01-13 08:00:00,system
93,GRN2026000093,85,6,57,2026-01-14,received,,2026-01-14 08:00:00,system,2026-01-14 08:00:00,system
94,GRN2026000094,86,9,3,2026-07-01,received,,2026-07-01 08:00:00,system,2026-07-01 08:00:00,system
95,GRN2026000095,86,9,118,2026-07-02,received,,2026-07-02 08:00:00,system,2026-07-02 08:00:00,system
96,GRN2026000096,88,6,104,2026-06-26,received,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
97,GRN2026000097,88,6,83,2026-06-30,received,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
98,GRN2026000098,89,2,,2026-03-09,received,,2026-03-09 08:00:00,system,2026-03-09 08:00:00,system
99,GRN2026000099,89,2,120,2026-03-12,received,,2026-03-12 08:00:00,system,2026-03-12 08:00:00,system
100,GRN2026000100,89,2,134,2026-03-17,received,,2026-03-17 08:00:00,system,2026-03-17 08:00:00,system
101,GRN2026000101,90,5,49,2026-04-29,received,,2026-04-29 08:00:00,system,2026-04-29 08:00:00,system
102,GRN2026000102,92,9,94,2026-05-10,received,,2026-05-10 08:00:00,system,2026-05-10 08:00:00,system
103,GRN2026000103,93,1,,2026-01-15,received,,2026-01-15 08:00:00,system,2026-01-15 08:00:00,system
104,GRN2026000104,93,1,,2026-01-20,received,,2026-01-20 08:00:00,system,2026-01-20 08:00:00,system
105,GRN2026000105,94,6,,2026-03-13,received,,2026-03-13 08:00:00,system,2026-03-13 08:00:00,system
106,GRN2026000106,95,4,44,2026-04-27,received,,2026-04-27 08:00:00,system,2026-04-27 08:00:00,system
107,GRN2026000107,95,4,26,2026-04-30,received,,2026-04-30 08:00:00,system,2026-04-30 08:00:00,system
108,GRN2026000108,96,8,25,2026-06-07,received,,2026-06-07 08:00:00,system,2026-06-07 08:00:00,system
109,GRN2026000109,96,8,,2026-06-09,received,,2026-06-09 08:00:00,system,2026-06-09 08:00:00,system
110,GRN2026000110,98,2,1,2026-02-16,received,,2026-02-16 08:00:00,system,2026-02-16 08:00:00,system
111,GRN2026000111,101,6,,2026-01-22,received,,2026-01-22 08:00:00,system,2026-01-22 08:00:00,system
112,GRN2026000112,105,1,,2026-01-22,received,,2026-01-22 08:00:00,system,2026-01-22 08:00:00,system
113,GRN2026000113,105,1,,2026-01-27,received,,2026-01-27 08:00:00,system,2026-01-27 08:00:00,system
114,GRN2026000114,105,1,128,2026-01-29,received,,2026-01-29 08:00:00,system,2026-01-29 08:00:00,system
115,GRN2026000115,108,2,46,2026-02-13,received,,2026-02-13 08:00:00,system,2026-02-13 08:00:00,system
116,GRN2026000116,110,7,84,2026-02-04,received,,2026-02-04 08:00:00,system,2026-02-04 08:00:00,system
117,GRN2026000117,110,7,,2026-02-06,received,,2026-02-06 08:00:00,system,2026-02-06 08:00:00,system
118,GRN2026000118,113,6,,2026-05-17,received,,2026-05-17 08:00:00,system,2026-05-17 08:00:00,system
119,GRN2026000119,114,2,78,2026-01-29,received,,2026-01-29 08:00:00,system,2026-01-29 08:00:00,system
120,GRN2026000120,115,2,90,2026-03-01,received,,2026-03-01 08:00:00,system,2026-03-01 08:00:00,system
121,GRN2026000121,116,4,,2026-04-18,received,,2026-04-18 08:00:00,system,2026-04-18 08:00:00,system
122,GRN2026000122,117,3,102,2026-04-05,received,,2026-04-05 08:00:00,system,2026-04-05 08:00:00,system
123,GRN2026000123,117,3,53,2026-04-10,received,,2026-04-10 08:00:00,system,2026-04-10 08:00:00,system
124,GRN2026000124,118,4,22,2026-03-21,received,,2026-03-21 08:00:00,system,2026-03-21 08:00:00,system
125,GRN2026000125,118,4,104,2026-03-25,received,,2026-03-25 08:00:00,system,2026-03-25 08:00:00,system
126,GRN2026000126,121,8,114,2026-01-12,received,,2026-01-12 08:00:00,system,2026-01-12 08:00:00,system
127,GRN2026000127,121,8,,2026-01-15,received,,2026-01-15 08:00:00,system,2026-01-15 08:00:00,system
128,GRN2026000128,124,4,58,2026-06-08,received,,2026-06-08 08:00:00,system,2026-06-08 08:00:00,system
129,GRN2026000129,125,4,28,2026-02-02,received,,2026-02-02 08:00:00,system,2026-02-02 08:00:00,system
130,GRN2026000130,125,4,,2026-02-03,received,,2026-02-03 08:00:00,system,2026-02-03 08:00:00,system
131,GRN2026000131,125,4,,2026-02-06,received,,2026-02-06 08:00:00,system,2026-02-06 08:00:00,system
132,GRN2026000132,127,1,49,2026-04-12,received,,2026-04-12 08:00:00,system,2026-04-12 08:00:00,system
133,GRN2026000133,127,1,47,2026-04-17,received,,2026-04-17 08:00:00,system,2026-04-17 08:00:00,system
134,GRN2026000134,128,3,45,2026-03-27,received,,2026-03-27 08:00:00,system,2026-03-27 08:00:00,system
135,GRN2026000135,129,5,2,2026-06-13,received,,2026-06-13 08:00:00,system,2026-06-13 08:00:00,system
136,GRN2026000136,130,8,,2026-05-16,received,,2026-05-16 08:00:00,system,2026-05-16 08:00:00,system
137,GRN2026000137,131,1,8,2026-02-14,received,,2026-02-14 08:00:00,system,2026-02-14 08:00:00,system
138,GRN2026000138,132,8,20,2026-01-17,received,,2026-01-17 08:00:00,system,2026-01-17 08:00:00,system
139,GRN2026000139,132,8,19,2026-01-18,received,,2026-01-18 08:00:00,system,2026-01-18 08:00:00,system
140,GRN2026000140,133,9,93,2026-06-28,received,,2026-06-28 08:00:00,system,2026-06-28 08:00:00,system
141,GRN2026000141,134,1,30,2026-04-08,received,,2026-04-08 08:00:00,system,2026-04-08 08:00:00,system
142,GRN2026000142,135,2,63,2026-03-19,received,,2026-03-19 08:00:00,system,2026-03-19 08:00:00,system
143,GRN2026000143,136,3,13,2026-06-02,received,,2026-06-02 08:00:00,system,2026-06-02 08:00:00,system
144,GRN2026000144,136,3,58,2026-06-07,received,,2026-06-07 08:00:00,system,2026-06-07 08:00:00,system
145,GRN2026000145,137,4,130,2026-04-30,received,,2026-04-30 08:00:00,system,2026-04-30 08:00:00,system
146,GRN2026000146,139,9,,2026-05-29,received,,2026-05-29 08:00:00,system,2026-05-29 08:00:00,system
147,GRN2026000147,140,8,45,2026-04-03,received,,2026-04-03 08:00:00,system,2026-04-03 08:00:00,system
148,GRN2026000148,140,8,127,2026-04-05,received,,2026-04-05 08:00:00,system,2026-04-05 08:00:00,system
149,GRN2026000149,141,9,,2026-01-27,received,,2026-01-27 08:00:00,system,2026-01-27 08:00:00,system
150,GRN2026000150,142,6,37,2026-04-27,received,,2026-04-27 08:00:00,system,2026-04-27 08:00:00,system
151,GRN2026000151,142,6,,2026-04-29,received,,2026-04-29 08:00:00,system,2026-04-29 08:00:00,system
152,GRN2026000152,143,5,78,2026-05-31,received,,2026-05-31 08:00:00,system,2026-05-31 08:00:00,system
153,GRN2026000153,146,9,118,2026-03-05,received,,2026-03-05 08:00:00,system,2026-03-05 08:00:00,system
154,GRN2026000154,149,3,93,2026-06-30,received,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
155,GRN2026000155,150,4,92,2026-06-13,received,,2026-06-13 08:00:00,system,2026-06-13 08:00:00,system
156,GRN2026000156,150,4,,2026-06-14,received,,2026-06-14 08:00:00,system,2026-06-14 08:00:00,system
157,GRN2026000157,151,8,90,2026-04-27,received,,2026-04-27 08:00:00,system,2026-04-27 08:00:00,system
158,GRN2026000158,152,1,,2026-01-14,received,,2026-01-14 08:00:00,system,2026-01-14 08:00:00,system
159,GRN2026000159,153,5,110,2026-01-27,received,,2026-01-27 08:00:00,system,2026-01-27 08:00:00,system
160,GRN2026000160,154,5,82,2026-03-05,received,,2026-03-05 08:00:00,system,2026-03-05 08:00:00,system
161,GRN2026000161,154,5,54,2026-03-09,received,,2026-03-09 08:00:00,system,2026-03-09 08:00:00,system
162,GRN2026000162,154,5,21,2026-03-13,received,,2026-03-13 08:00:00,system,2026-03-13 08:00:00,system
163,GRN2026000163,156,2,47,2026-04-16,received,,2026-04-16 08:00:00,system,2026-04-16 08:00:00,system
164,GRN2026000164,156,2,,2026-04-17,received,,2026-04-17 08:00:00,system,2026-04-17 08:00:00,system
165,GRN2026000165,158,9,11,2026-03-16,received,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
166,GRN2026000166,158,9,129,2026-03-19,received,,2026-03-19 08:00:00,system,2026-03-19 08:00:00,system
167,GRN2026000167,160,4,5,2026-01-12,received,,2026-01-12 08:00:00,system,2026-01-12 08:00:00,system
168,GRN2026000168,161,9,,2026-06-06,received,,2026-06-06 08:00:00,system,2026-06-06 08:00:00,system
169,GRN2026000169,164,4,3,2026-07-01,received,,2026-07-01 08:00:00,system,2026-07-01 08:00:00,system
170,GRN2026000170,165,9,44,2026-02-21,received,,2026-02-21 08:00:00,system,2026-02-21 08:00:00,system
171,GRN2026000171,166,2,,2026-03-08,received,,2026-03-08 08:00:00,system,2026-03-08 08:00:00,system
172,GRN2026000172,166,2,,2026-03-13,received,,2026-03-13 08:00:00,system,2026-03-13 08:00:00,system
173,GRN2026000173,167,5,105,2026-03-28,received,,2026-03-28 08:00:00,system,2026-03-28 08:00:00,system
174,GRN2026000174,168,3,,2026-06-10,received,,2026-06-10 08:00:00,system,2026-06-10 08:00:00,system
175,GRN2026000175,168,3,66,2026-06-15,received,,2026-06-15 08:00:00,system,2026-06-15 08:00:00,system
176,GRN2026000176,169,1,46,2026-04-06,received,,2026-04-06 08:00:00,system,2026-04-06 08:00:00,system
177,GRN2026000177,170,7,77,2026-06-18,received,,2026-06-18 08:00:00,system,2026-06-18 08:00:00,system
178,GRN2026000178,171,2,,2026-07-01,received,,2026-07-01 08:00:00,system,2026-07-01 08:00:00,system
179,GRN2026000179,171,2,108,2026-07-04,received,,2026-07-04 08:00:00,system,2026-07-04 08:00:00,system
180,GRN2026000180,172,7,,2026-04-25,received,,2026-04-25 08:00:00,system,2026-04-25 08:00:00,system
181,GRN2026000181,173,8,,2026-05-08,received,,2026-05-08 08:00:00,system,2026-05-08 08:00:00,system
182,GRN2026000182,174,1,51,2026-05-03,received,,2026-05-03 08:00:00,system,2026-05-03 08:00:00,system
183,GRN2026000183,175,8,120,2026-03-02,received,,2026-03-02 08:00:00,system,2026-03-02 08:00:00,system
184,GRN2026000184,175,8,20,2026-03-05,received,,2026-03-05 08:00:00,system,2026-03-05 08:00:00,system
185,GRN2026000185,176,1,22,2026-03-28,received,,2026-03-28 08:00:00,system,2026-03-28 08:00:00,system
186,GRN2026000186,176,1,84,2026-03-29,received,,2026-03-29 08:00:00,system,2026-03-29 08:00:00,system
187,GRN2026000187,178,8,1,2026-05-28,received,,2026-05-28 08:00:00,system,2026-05-28 08:00:00,system
188,GRN2026000188,179,9,,2026-03-20,received,,2026-03-20 08:00:00,system,2026-03-20 08:00:00,system
189,GRN2026000189,181,5,10,2026-01-10,received,,2026-01-10 08:00:00,system,2026-01-10 08:00:00,system
190,GRN2026000190,182,5,39,2026-02-25,received,,2026-02-25 08:00:00,system,2026-02-25 08:00:00,system
191,GRN2026000191,185,2,107,2026-04-22,received,,2026-04-22 08:00:00,system,2026-04-22 08:00:00,system
192,GRN2026000192,186,3,,2026-01-28,received,,2026-01-28 08:00:00,system,2026-01-28 08:00:00,system
193,GRN2026000193,187,4,68,2026-03-02,received,,2026-03-02 08:00:00,system,2026-03-02 08:00:00,system
194,GRN2026000194,188,1,62,2026-07-10,received,,2026-07-10 08:00:00,system,2026-07-10 08:00:00,system
195,GRN2026000195,191,4,86,2026-02-06,received,,2026-02-06 08:00:00,system,2026-02-06 08:00:00,system
196,GRN2026000196,192,5,54,2026-03-09,received,,2026-03-09 08:00:00,system,2026-03-09 08:00:00,system
197,GRN2026000197,193,4,48,2026-06-03,received,,2026-06-03 08:00:00,system,2026-06-03 08:00:00,system
198,GRN2026000198,195,2,77,2026-01-19,received,,2026-01-19 08:00:00,system,2026-01-19 08:00:00,system
199,GRN2026000199,196,7,53,2026-07-07,received,,2026-07-07 08:00:00,system,2026-07-07 08:00:00,system
200,GRN2026000200,197,4,116,2026-04-27,received,,2026-04-27 08:00:00,system,2026-04-27 08:00:00,system
201,GRN2026000201,197,4,120,2026-05-01,received,,2026-05-01 08:00:00,system,2026-05-01 08:00:00,system
202,GRN2026000202,197,4,92,2026-05-04,received,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
203,GRN2026000203,198,3,132,2026-06-16,received,,2026-06-16 08:00:00,system,2026-06-16 08:00:00,system
204,GRN2026000204,198,3,67,2026-06-19,received,,2026-06-19 08:00:00,system,2026-06-19 08:00:00,system
205,GRN2026000205,200,6,11,2026-06-06,received,,2026-06-06 08:00:00,system,2026-06-06 08:00:00,system
206,GRN2026000206,201,4,3,2026-06-03,received,,2026-06-03 08:00:00,system,2026-06-03 08:00:00,system
207,GRN2026000207,202,2,28,2026-05-28,received,,2026-05-28 08:00:00,system,2026-05-28 08:00:00,system
208,GRN2026000208,203,8,130,2026-02-13,received,,2026-02-13 08:00:00,system,2026-02-13 08:00:00,system
209,GRN2026000209,204,4,,2026-06-21,received,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
210,GRN2026000210,205,4,109,2026-04-20,received,,2026-04-20 08:00:00,system,2026-04-20 08:00:00,system
211,GRN2026000211,205,4,,2026-04-24,received,,2026-04-24 08:00:00,system,2026-04-24 08:00:00,system
212,GRN2026000212,207,3,128,2026-02-27,received,,2026-02-27 08:00:00,system,2026-02-27 08:00:00,system
213,GRN2026000213,208,4,,2026-04-14,received,,2026-04-14 08:00:00,system,2026-04-14 08:00:00,system
214,GRN2026000214,209,3,133,2026-02-17,received,,2026-02-17 08:00:00,system,2026-02-17 08:00:00,system
215,GRN2026000215,209,3,,2026-02-22,received,,2026-02-22 08:00:00,system,2026-02-22 08:00:00,system
216,GRN2026000216,211,2,107,2026-04-07,received,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
217,GRN2026000217,211,2,,2026-04-09,received,,2026-04-09 08:00:00,system,2026-04-09 08:00:00,system
218,GRN2026000218,212,3,39,2026-05-23,received,,2026-05-23 08:00:00,system,2026-05-23 08:00:00,system
219,GRN2026000219,214,2,,2026-06-21,received,,2026-06-21 08:00:00,system,2026-06-21 08:00:00,system
220,GRN2026000220,215,2,87,2026-02-09,received,,2026-02-09 08:00:00,system,2026-02-09 08:00:00,system
221,GRN2026000221,215,2,45,2026-02-14,received,,2026-02-14 08:00:00,system,2026-02-14 08:00:00,system
222,GRN2026000222,216,3,90,2026-06-10,received,,2026-06-10 08:00:00,system,2026-06-10 08:00:00,system
223,GRN2026000223,216,3,81,2026-06-13,received,,2026-06-13 08:00:00,system,2026-06-13 08:00:00,system
224,GRN2026000224,217,4,23,2026-05-19,received,,2026-05-19 08:00:00,system,2026-05-19 08:00:00,system
225,GRN2026000225,218,8,18,2026-06-12,received,,2026-06-12 08:00:00,system,2026-06-12 08:00:00,system
226,GRN2026000226,220,1,50,2026-04-20,received,,2026-04-20 08:00:00,system,2026-04-20 08:00:00,system
227,GRN2026000227,220,1,7,2026-04-22,received,,2026-04-22 08:00:00,system,2026-04-22 08:00:00,system
228,GRN2026000228,221,6,128,2026-03-14,received,,2026-03-14 08:00:00,system,2026-03-14 08:00:00,system
229,GRN2026000229,222,5,,2026-04-10,received,,2026-04-10 08:00:00,system,2026-04-10 08:00:00,system
230,GRN2026000230,222,5,43,2026-04-11,received,,2026-04-11 08:00:00,system,2026-04-11 08:00:00,system
231,GRN2026000231,223,1,114,2026-04-10,received,,2026-04-10 08:00:00,system,2026-04-10 08:00:00,system
232,GRN2026000232,224,4,96,2026-06-16,received,,2026-06-16 08:00:00,system,2026-06-16 08:00:00,system
233,GRN2026000233,225,4,125,2026-04-23,received,,2026-04-23 08:00:00,system,2026-04-23 08:00:00,system
234,GRN2026000234,226,2,9,2026-04-29,received,,2026-04-29 08:00:00,system,2026-04-29 08:00:00,system
235,GRN2026000235,227,5,120,2026-07-02,received,,2026-07-02 08:00:00,system,2026-07-02 08:00:00,system
236,GRN2026000236,228,2,67,2026-03-21,received,,2026-03-21 08:00:00,system,2026-03-21 08:00:00,system
237,GRN2026000237,229,9,84,2026-02-15,received,,2026-02-15 08:00:00,system,2026-02-15 08:00:00,system
238,GRN2026000238,229,9,37,2026-02-20,received,,2026-02-20 08:00:00,system,2026-02-20 08:00:00,system
239,GRN2026000239,230,4,56,2026-03-15,received,,2026-03-15 08:00:00,system,2026-03-15 08:00:00,system
240,GRN2026000240,230,4,,2026-03-16,received,,2026-03-16 08:00:00,system,2026-03-16 08:00:00,system
241,GRN2026000241,231,8,64,2026-06-27,received,,2026-06-27 08:00:00,system,2026-06-27 08:00:00,system
242,GRN2026000242,231,8,130,2026-06-28,received,,2026-06-28 08:00:00,system,2026-06-28 08:00:00,system
243,GRN2026000243,232,4,132,2026-04-27,received,,2026-04-27 08:00:00,system,2026-04-27 08:00:00,system
244,GRN2026000244,233,6,67,2026-01-26,received,,2026-01-26 08:00:00,system,2026-01-26 08:00:00,system
245,GRN2026000245,234,4,63,2026-05-22,received,,2026-05-22 08:00:00,system,2026-05-22 08:00:00,system
246,GRN2026000246,235,1,82,2026-06-23,received,,2026-06-23 08:00:00,system,2026-06-23 08:00:00,system
247,GRN2026000247,236,5,8,2026-04-15,received,,2026-04-15 08:00:00,system,2026-04-15 08:00:00,system
248,GRN2026000248,237,7,122,2026-05-26,received,,2026-05-26 08:00:00,system,2026-05-26 08:00:00,system
