supplier_id,supplier_code,supplier_name,supplier_type,contact_person,phone,email,gstin,state_code,address_line1,address_line2,city,state,postal_code,country,lead_time_days,payment_term_id,supplier_status,created_date,created_by,updated_date,updated_by
11,SUP011,Western Auto Fluids Distribution,authorized_distributor,Harish Shah,02522-463817,sales@westernfluids.example,27MZTRF1846Q1Z7,27,"Unit 6, Industrial Estate",Bhiwandi Logistics Zone,Thane,Maharashtra,421302,India,6,4,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
12,SUP012,Southline Lubricant Supply,authorized_distributor,Joseph Mathew,0484-4162-7351,commercial@southlinelubes.example,32DPLKS9072E1Z3,32,"Plot 9, Logistics Industrial Area",Kalamassery,Kochi,Kerala,683104,India,7,5,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
13,SUP013,Central Fleet Lubricants,authorized_distributor,Pankaj Soni,0731-4628-3159,sales@centralfleetlubes.example,23GWNHC6158V1Z6,23,"Depot 4, Industrial Corridor",Rau,Indore,Madhya Pradesh,453331,India,5,3,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
14,SUP014,Deccan Equipment Fluids,authorized_distributor,Swapnil Kulkarni,0253-4187-2634,commercial@deccanequipment.example,27RKDPS3429L1Z8,27,"Shop 12, Industrial Service Road",Satpur MIDC,Nashik,Maharashtra,422007,India,4,2,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
15,SUP015,Northwest Regional Oils,regional_distributor,Gaurav Bansal,0141-4672-3158,sales@northwestoils.example,08FQMBT7815C1Z4,08,"Plot 19, Transport Nagar",Sitapura,Jaipur,Rajasthan,302022,India,6,4,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
16,SUP016,Vidarbha Industrial Distribution,regional_distributor,Suresh Patil,0712-4816-2734,commercial@vidarbhadist.example,27JVLNR5036T1Z9,27,"Plot 5, Logistics Hub",Hingna Road,Nagpur,Maharashtra,440016,India,5,3,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
17,SUP017,Varnex Industrial Supply,regional_distributor,Ramesh Rao,040-4637-2815,sales@varnexindustrial.example,36KPBRS4261F1Z5,36,"Shed 8, Industrial Estate",Jeedimetla,Hyderabad,Telangana,500055,India,7,5,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
18,SUP018,Gujarat Regional Lubricants,regional_distributor,Dhruv Trivedi,079-4518-3264,commercial@gujaratregional.example,24WDTMG8593A1Z7,24,"Warehouse 3, GIDC Estate",Sanand,Ahmedabad,Gujarat,382170,India,5,3,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
19,SUP019,Southwest Industrial Traders,regional_distributor,Nitin Shetty,080-4926-3175,sales@southwesttraders.example,29SCQHV2148M1Z3,29,"Plot 17, Industrial Area",Bommasandra,Bengaluru,Karnataka,560099,India,6,4,inactive,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
20,SUP020,Global Base Oil Imports,importer,Amit Khanna,022-4691-2853,commercial@globalbaseoil.example,27BFRNK6705P1Z8,27,"Tank Farm Road, Plot 2",Nhava Sheva,Navi Mumbai,Maharashtra,400707,India,24,7,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
21,SUP021,International Additives India,importer,Rajiv Menon,044-4186-3725,sales@intladditives.example,33NQXLD3917R1Z4,33,"Warehouse 11, Port Logistics Park",Manali Industrial Area,Chennai,Tamil Nadu,600068,India,28,8,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
22,SUP022,Coastal Specialty Chemicals,importer,Faizal Ahmed,02641-467218,commercial@coastalspecialty.example,24HVMCP7452K1Z9,24,"Plot 4, Port Industrial Zone",Dahej,Bharuch,Gujarat,392130,India,21,7,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
23,SUP023,Bulk Industrial Supply Co,bulk_supplier,Prakash Yadav,0120-4527-3168,sales@bulkindustrial.example,09ZTRFS2864D1Z6,09,Bulk Storage Yard 6,Dadri Industrial Area,Greater Noida,Uttar Pradesh,201306,India,13,6,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
24,SUP024,Industrial Fluids Bulk Services,bulk_supplier,Deepak Agarwal,011-4726-3185,commercial@industrialbulk.example,07PLQVB6183H1Z2,07,"Yard 3, Logistics Cluster",Narela Industrial Area,New Delhi,Delhi,110040,India,14,6,inactive,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
