goods_receipt_item_id,goods_receipt_id,purchase_order_item_id,line_number,product_id,batch_code,receipt_uom_id,received_pac_quantity,accepted_pac_quantity,rejected_pac_quantity,received_base_quantity,accepted_base_quantity,rejected_base_quantity,notes,created_date,created_by,updated_date,updated_by
106,22,114,3,152,B26-P0152-000106,6,1.0,1.0,0.0,20.0,20.0,0.0,,2026-06-28 08:00:00,system,2026-06-28 08:00:00,system
107,23,115,1,1015,B26-P1015-000107,6,9.0,9.0,0.0,162.0,162.0,0.0,,2026-01-28 08:00:00,system,2026-01-28 08:00:00,system
108,23,116,2,1410,B26-P1410-000108,6,18.0,18.0,0.0,270.0,270.0,0.0,,2026-01-28 08:00:00,system,2026-01-28 08:00:00,system
109,24,117,1,697,B26-P0697-000109,6,39.0,39.0,0.0,117.0,117.0,0.0,,2026-07-13 08:00:00,system,2026-07-13 08:00:00,system
110,24,118,2,521,B26-P0521-000110,6,55.0,55.0,0.0,165.0,165.0,0.0,,2026-07-13 08:00:00,system,2026-07-13 08:00:00,system
111,24,119,3,597,B26-P0597-000111,6,21.0,21.0,0.0,420.0,420.0,0.0,,2026-07-13 08:00:00,system,2026-07-13 08:00:00,system
112,24,120,4,1377,B26-P1377-000112,1,4.0,4.0,0.0,4000.0,4000.0,0.0,,2026-07-13 08:00:00,system,2026-07-13 08:00:00,system
113,25,121,1,830,B26-P0830-000113,6,6.0,6.0,0.0,1080.0,1080.0,0.0,,2026-07-04 08:00:00,system,2026-07-04 08:00:00,system
114,25,122,2,755,B26-P0755-000114,6,2.0,2.0,0.0,420.0,420.0,0.0,,2026-07-04 08:00:00,system,2026-07-04 08:00:00,system
115,25,123,3,679,B26-P0679-000115,6,4.0,4.0,0.0,840.0,840.0,0.0,,2026-07-04 08:00:00,system,2026-07-04 08:00:00,system
116,25,124,4,531,B26-P0531-000116,6,4.0,4.0,0.0,840.0,840.0,0.0,,2026-07-04 08:00:00,system,2026-07-04 08:00:00,system
117,25,125,5,331,B26-P0331-000117,6,4.0,3.0,1.0,720.0,540.0,180.0,,2026-07-04 08:00:00,system,2026-07-04 08:00:00,system
118,25,126,6,1444,B26-P1444-000118,6,16.0,16.0,0.0,48.0,48.0,0.0,,2026-07-04 08:00:00,system,2026-07-04 08:00:00,system
119,25,127,7,593,B26-P0593-000119,6,32.0,32.0,0.0,96.0,96.0,0.0,,2026-07-04 08:00:00,system,2026-07-04 08:00:00,system
120,25,128,8,881,B26-P0881-000120,6,17.0,17.0,0.0,255.0,255.0,0.0,,2026-07-04 08:00:00,system,2026-07-04 08:00:00,system
121,26,121,1,830,B26-P0830-000121,6,2.0,2.0,0.0,360.0,360.0,0.0,,2026-07-06 08:00:00,system,2026-07-06 08:00:00,system
122,26,122,2,755,B26-P0755-000122,6,3.0,3.0,0.0,630.0,630.0,0.0,,2026-07-06 08:00:00,system,2026-07-06 08:00:00,system
123,26,123,3,679,B26-P0679-000123,6,1.0,1.0,0.0,210.0,210.0,0.0,,2026-07-06 08:00:00,system,2026-07-06 08:00:00,system
124,26,124,4,531,B26-P0531-000124,6,1.0,1.0,0.0,210.0,210.0,0.0,,2026-07-06 08:00:00,system,2026-07-06 08:00:00,system
125,26,126,5,1444,B26-P1444-000125,6,32.0,32.0,0.0,96.0,96.0,0.0,,2026-07-06 08:00:00,system,2026-07-06 08:00:00,system
126,26,127,6,593,B26-P0593-000126,6,1.0,0.0,1.0,3.0,0.0,3.0,,2026-07-06 08:00:00,system,2026-07-06 08:00:00,system
127,26,128,7,881,B26-P0881-000127,6,13.0,13.0,0.0,195.0,195.0,0.0,,2026-07-06 08:00:00,system,2026-07-06 08:00:00,system
128,27,131,1,190,B26-P0190-000128,6,16.0,16.0,0.0,12.8,12.8,0.0,,2026-03-28 08:00:00,system,2026-03-28 08:00:00,system
129,27,132,2,1159,B26-P1159-000129,6,6.0,6.0,0.0,30.0,30.0,0.0,,2026-03-28 08:00:00,system,2026-03-28 08:00:00,system
130,28,131,1,190,B26-P0190-000130,6,28.0,28.0,0.0,22.4,22.4,0.0,,2026-03-31 08:00:00,system,2026-03-31 08:00:00,system
131,28,132,2,1159,B26-P1159-000131,6,1.0,0.0,1.0,5.0,0.0,5.0,,2026-03-31 08:00:00,system,2026-03-31 08:00:00,system
132,29,133,1,1169,B26-P1169-000132,6,37.0,37.0,0.0,740.0,740.0,0.0,,2026-03-09 08:00:00,system,2026-03-09 08:00:00,system
133,30,134,1,902,B26-P0902-000133,6,1.0,1.0,0.0,180.0,180.0,0.0,,2026-02-20 08:00:00,system,2026-02-20 08:00:00,system
134,31,142,1,149,B26-P0149-000134,6,10.0,10.0,0.0,50.0,50.0,0.0,,2026-03-31 08:00:00,system,2026-03-31 08:00:00,system
135,31,143,2,168,B26-P0168-000135,6,5.0,5.0,0.0,125.0,125.0,0.0,,2026-03-31 08:00:00,system,2026-03-31 08:00:00,system
136,31,147,3,414,B26-P0414-000136,6,3.0,3.0,0.0,90.0,90.0,0.0,,2026-03-31 08:00:00,system,2026-03-31 08:00:00,system
137,31,148,4,924,B26-P0924-000137,6,5.0,5.0,0.0,75.0,75.0,0.0,,2026-03-31 08:00:00,system,2026-03-31 08:00:00,system
138,31,149,5,360,B26-P0360-000138,6,2.0,2.0,0.0,50.0,50.0,0.0,,2026-03-31 08:00:00,system,2026-03-31 08:00:00,system
139,31,150,6,317,B26-P0317-000139,6,1.0,1.0,0.0,210.0,210.0,0.0,,2026-03-31 08:00:00,system,2026-03-31 08:00:00,system
140,32,141,1,704,B26-P0704-000140,6,6.0,6.0,0.0,300.0,300.0,0.0,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
141,32,142,2,149,B26-P0149-000141,6,2.0,2.0,0.0,10.0,10.0,0.0,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
142,32,143,3,168,B26-P0168-000142,6,20.0,20.0,0.0,500.0,500.0,0.0,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
143,32,144,4,916,B26-P0916-000143,6,8.0,7.0,1.0,1440.0,1260.0,180.0,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
144,32,145,5,1367,B26-P1367-000144,6,1.0,1.0,0.0,210.0,210.0,0.0,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
145,32,146,6,820,B26-P0820-000145,1,4.0,4.0,0.0,8000.0,8000.0,0.0,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
146,32,147,7,414,B26-P0414-000146,6,4.0,4.0,0.0,120.0,120.0,0.0,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
147,32,148,8,924,B26-P0924-000147,6,1.0,1.0,0.0,15.0,15.0,0.0,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
148,32,149,9,360,B26-P0360-000148,6,19.0,19.0,0.0,475.0,475.0,0.0,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
149,32,151,10,1274,B26-P1274-000149,6,2.0,2.0,0.0,420.0,420.0,0.0,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
150,32,152,11,403,B26-P0403-000150,6,1.0,1.0,0.0,210.0,210.0,0.0,,2026-04-01 08:00:00,system,2026-04-01 08:00:00,system
151,33,153,1,360,B26-P0360-000151,6,11.0,11.0,0.0,275.0,275.0,0.0,,2026-05-27 08:00:00,system,2026-05-27 08:00:00,system
152,33,154,2,1256,B26-P1256-000152,6,3.0,3.0,0.0,165.0,165.0,0.0,,2026-05-27 08:00:00,system,2026-05-27 08:00:00,system
153,33,155,3,303,B26-P0303-000153,1,1.0,1.0,0.0,1000.0,1000.0,0.0,,2026-05-27 08:00:00,system,2026-05-27 08:00:00,system
154,33,156,4,1450,B26-P1450-000154,6,9.0,9.0,0.0,270.0,270.0,0.0,,2026-05-27 08:00:00,system,2026-05-27 08:00:00,system
155,33,157,5,500,B26-P0500-000155,6,9.0,9.0,0.0,270.0,270.0,0.0,,2026-05-27 08:00:00,system,2026-05-27 08:00:00,system
156,34,153,1,360,B26-P0360-000156,6,3.0,3.0,0.0,75.0,75.0,0.0,,2026-05-30 08:00:00,system,2026-05-30 08:00:00,system
157,34,154,2,1256,B26-P1256-000157,6,3.0,3.0,0.0,165.0,165.0,0.0,,2026-05-30 08:00:00,system,2026-05-30 08:00:00,system
158,34,156,3,1450,B26-P1450-000158,6,9.0,9.0,0.0,270.0,270.0,0.0,,2026-05-30 08:00:00,system,2026-05-30 08:00:00,system
159,34,157,4,500,B26-P0500-000159,6,5.0,4.0,1.0,150.0,120.0,30.0,,2026-05-30 08:00:00,system,2026-05-30 08:00:00,system
160,35,158,1,50,B26-P0050-000160,6,2.0,2.0,0.0,30.0,30.0,0.0,,2026-06-25 08:00:00,system,2026-06-25 08:00:00,system
161,35,160,2,285,B26-P0285-000161,1,4.0,4.0,0.0,4000.0,4000.0,0.0,,2026-06-25 08:00:00,system,2026-06-25 08:00:00,system
162,35,161,3,352,B26-P0352-000162,6,51.0,51.0,0.0,40.8,40.8,0.0,,2026-06-25 08:00:00,system,2026-06-25 08:00:00,system
163,35,162,4,21,B26-P0021-000163,6,5.0,5.0,0.0,100.0,100.0,0.0,,2026-06-25 08:00:00,system,2026-06-25 08:00:00,system
164,35,164,5,1398,B26-P1398-000164,6,5.0,4.0,1.0,125.0,100.0,25.0,,2026-06-25 08:00:00,system,2026-06-25 08:00:00,system
165,36,158,1,50,B26-P0050-000165,6,5.0,5.0,0.0,75.0,75.0,0.0,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
166,36,159,2,1257,B26-P1257-000166,6,2.0,2.0,0.0,420.0,420.0,0.0,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
167,36,160,3,285,B26-P0285-000167,1,2.0,2.0,0.0,2000.0,2000.0,0.0,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
168,36,161,4,352,B26-P0352-000168,6,29.0,28.0,1.0,23.2,22.4,0.8,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
169,36,162,5,21,B26-P0021-000169,6,16.0,16.0,0.0,320.0,320.0,0.0,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
170,36,163,6,619,B26-P0619-000170,1,6.0,6.0,0.0,6000.0,6000.0,0.0,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
171,36,164,7,1398,B26-P1398-000171,6,2.0,2.0,0.0,50.0,50.0,0.0,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
172,36,165,8,888,B26-P0888-000172,6,2.0,2.0,0.0,420.0,420.0,0.0,,2026-06-30 08:00:00,system,2026-06-30 08:00:00,system
173,37,166,1,1469,B26-P1469-000173,6,27.0,26.0,1.0,270.0,260.0,10.0,,2026-07-05 08:00:00,system,2026-07-05 08:00:00,system
174,37,167,2,1037,B26-P1037-000174,6,32.0,32.0,0.0,12.8,12.8,0.0,,2026-07-05 08:00:00,system,2026-07-05 08:00:00,system
175,37,168,3,371,B26-P0371-000175,6,12.0,12.0,0.0,60.0,60.0,0.0,,2026-07-05 08:00:00,system,2026-07-05 08:00:00,system
176,37,169,4,1042,B26-P1042-000176,6,2.0,2.0,0.0,20.0,20.0,0.0,,2026-07-05 08:00:00,system,2026-07-05 08:00:00,system
177,37,170,5,1002,B26-P1002-000177,6,41.0,41.0,0.0,41.0,41.0,0.0,,2026-07-05 08:00:00,system,2026-07-05 08:00:00,system
